num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes_lifetime,env_runners/episode_duration_sec_mean,env_runners/episode_len_min,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episode_len_max,env_runners/episode_len_mean,env_runners/num_episodes,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained_lifetime,learners/ai/num_module_steps_trained_lifetime,learners/ai/module_train_batch_size_mean,learners/ai/gradients_default_optimizer_global_norm,learners/ai/mean_kl_loss,learners/ai/num_module_steps_trained,learners/ai/curr_kl_coeff,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/num_non_trainable_parameters,learners/ai/vf_loss_unclipped,learners/ai/weights_seq_no,learners/ai/vf_loss,learners/ai/entropy,learners/ai/policy_loss,learners/ai/vf_explained_var,learners/ai/num_trainable_parameters,learners/ai/default_optimizer_learning_rate,learners/human/curr_entropy_coeff
1,4000,False,1,4957d_00000,2025-06-01_19-13-15,1748794395,4.562907457351685,4.562907457351685,34108,Cerebro,127.0.0.1,4.562907457351685,1,4.553824000002351,1.8199963960796595e-05,4.553641300008167,1.1022347999969497,3.4432633999967948,0.006343900051433593,48,0.08378369166166522,80,4000,4000,-48.00000000000007,-367.99999999999983,-101.74999999999999,80,80.0,48,4,0,0,17.2,67.55,0.0,0.0,4000,4000,-50.87499999999999,-50.87499999999999,4000,4000,4000,4000,80.0,80.0,4000,4000,-50.87499999999999,-50.87499999999999,4052,4000,0,0.1902255000313744,152070,4000,4052,4052,4052,0.1616036593914032,0.0008624658803455532,4052,0.10000000149011612,0.2,0.4266224801540375,0.0,0,561.0097045898438,1.0,5.690855979919434,1.6076295375823975,0.1788904070854187,-0.10863959789276123,152070,0.001,0.2
1,8000,False,2,4957d_00000,2025-06-01_19-13-20,1748794400,4.527445554733276,9.090353012084961,34108,Cerebro,127.0.0.1,9.090353012084961,2,4.553445197002147,1.8200964550487697e-05,4.553261068008141,1.0993368349969386,3.445776097996859,0.006345127050881274,100,0.07168943100085017,80,4000,8000,112.00000000000014,-368.000000000001,-87.4,80,80.0,52,4,0,0,27.299999999999997,67.51666666666667,0.0,0.0,4000,4000,-43.7,-43.7,4000,4000,8000,8000,80.0,80.0,8000,8000,-43.7,-43.7,4052,4000,0.0,0.19023845482137403,152070.0,8000,8104,8104,4052.0,0.4399612247943878,0.0004272057849448174,4052,0.05000000074505806,0.2,0.3880655765533447,0.0,0.0,70.41219329833984,2.0,6.8575439453125,1.607783317565918,0.02382510155439377,-0.0804680585861206,152070.0,0.001,0.2
1,12000,False,3,4957d_00000,2025-06-01_19-13-24,1748794404,4.330360174179077,13.420713186264038,34108,Cerebro,127.0.0.1,13.420713186264038,3,4.551133151032257,1.8156954791629688e-05,4.550947991328442,1.0973024396467952,3.44549958901658,0.00633832078037667,148,0.06327472400211263,80,4000,12000,112.00000000000014,-368.000000000001,-77.00000000000001,80,80.0,48,4,0,0,23.380000000000003,67.52000000000001,0.0,0.0,4000,4000,-38.50000000000001,-38.50000000000001,4000,4000,12000,12000,80.0,80.0,12000,12000,-38.50000000000001,-38.50000000000001,4052,4000,0.0,0.19025071839557203,152070.0,12000,12156,12156,4052.0,0.3183527886867523,0.00045076225069351494,4052,0.02500000037252903,0.2,0.4149089455604553,0.0,0.0,132.84756469726562,3.0,6.291629791259766,1.6065493822097778,0.10703331977128983,0.08491551876068115,152070.0,0.001,0.2
1,16000,False,4,4957d_00000,2025-06-01_19-13-28,1748794408,4.2356226444244385,17.656335830688477,34108,Cerebro,127.0.0.1,17.656335830688477,4,4.547873335521603,1.8089384947612417e-05,4.5476873904151205,1.0947267352505492,3.4448074331263956,0.006342077572164649,200,0.06436782299890183,80,4000,16000,31.999999999999957,-308.00000000000034,-72.2,80,80.0,52,4,0,0,21.840000000000003,67.5,0.0,0.0,4000,4000,-36.1,-36.1,4000,4000,16000,16000,80.0,80.0,16000,16000,-36.1,-36.1,4052,4000,0.0,0.190260678412802,152070.0,16000,16208,16208,4052.0,0.5170893669128418,0.0008858115179464221,4052,0.012500000186264515,0.2,0.3211071789264679,0.0,0.0,72.22827911376953,4.0,5.613254070281982,1.6032382249832153,0.0804072842001915,0.015628457069396973,152070.0,0.001,0.2
1,20000,False,5,4957d_00000,2025-06-01_19-13-33,1748794413,4.783538103103638,22.439873933792114,34108,Cerebro,127.0.0.1,22.439873933792114,5,4.550133603166105,1.8038491505943824e-05,4.549946724510956,1.0927124118981602,3.4490708197956255,0.006346633796005236,248,0.06378095800115262,80,4000,20000,11.999999999999941,-167.9999999999998,-61.200000000000024,80,80.0,48,4,0,0,26.8,67.55714285714285,0.0,0.0,4000,4000,-30.600000000000012,-30.600000000000012,4000,4000,20000,20000,80.0,80.0,20000,20000,-30.600000000000012,-30.600000000000012,4052,4000,0.0,0.19028649773784745,152070.0,20000,20260,20260,4052.0,0.9702500700950623,0.0008303537033498287,4052,0.0062500000931322575,0.2,0.33947256207466125,0.0,0.0,51.289939880371094,5.0,5.682100296020508,1.5998941659927368,0.09123095124959946,0.02047950029373169,152070.0,0.001,0.2
1,24000,False,6,4957d_00000,2025-06-01_19-13-38,1748794418,4.489550352096558,26.929424285888672,34108,Cerebro,127.0.0.1,26.929424285888672,6,4.54942430413416,1.798710640900081e-05,4.549236329265686,1.0906414617791353,3.4504001045981467,0.0063712864578923945,300,0.06575463499815669,80,4000,24000,-48.00000000000003,-227.99999999999977,-59.400000000000055,80,80.0,52,4,0,0,19.750000000000004,67.64999999999999,0.0,0.0,4000,4000,-29.700000000000028,-29.700000000000028,4000,4000,24000,24000,80.0,80.0,24000,24000,-29.700000000000028,-29.700000000000028,4052,4000,0.0,0.19030938910855316,152070.0,24000,24312,24312,4052.0,0.6906390190124512,0.0007892292342148721,4052,0.0031250000465661287,0.2,0.5030615925788879,0.0,0.0,108.64981079101562,6.0,7.218286037445068,1.5961620807647705,0.10046044737100601,-0.14505577087402344,152070.0,0.001,0.2
1,28000,False,7,4957d_00000,2025-06-01_19-13-43,1748794423,4.791846752166748,31.72127103805542,34108,Cerebro,127.0.0.1,31.72127103805542,7,4.55175888309312,1.7928235684187893e-05,4.551570153973065,1.08908706216153,3.4542775615520958,0.00637375459375199,348,0.0679536739969626,80,4000,28000,-48.00000000000003,-227.99999999999977,-57.00000000000006,80,80.0,48,4,0,0,28.25,67.81666666666668,0.0,0.0,4000,4000,-28.50000000000003,-28.50000000000003,4000,4000,28000,28000,80.0,80.0,28000,28000,-28.50000000000003,-28.50000000000003,4052,4000,0.0,0.19034644832206654,152070.0,28000,28364,28364,4052.0,0.5570545196533203,0.0005568398046307266,4052,0.0015625000232830644,0.2,0.33845627307891846,0.0,0.0,40.530757904052734,7.0,5.3842668533325195,1.594459056854248,0.11891962587833405,0.15434741973876953,152070.0,0.001,0.2
1,32000,False,8,4957d_00000,2025-06-01_19-13-47,1748794427,4.452444791793823,36.17371582984924,34108,Cerebro,127.0.0.1,36.17371582984924,8,4.550664637262424,1.7869953084546493e-05,4.550474912433154,1.0865970185400653,3.455655626936618,0.0063794930477313735,400,0.06533215099945665,80,4000,32000,152.00000000000014,-167.99999999999986,-51.60000000000004,80,80.0,52,4,0,0,20.82,67.78,0.0,0.0,4000,4000,-25.80000000000002,-25.80000000000002,4000,4000,32000,32000,80.0,80.0,32000,32000,-25.80000000000002,-25.80000000000002,4052,4000,0.0,0.19038066664239736,152070.0,32000,32416,32416,4052.0,0.5452340841293335,0.0006836128886789083,4052,0.0007812500116415322,0.2,0.31845781207084656,0.0,0.0,130.46437072753906,8.0,6.827914237976074,1.5986160039901733,-0.044611506164073944,0.0168265700340271,152070.0,0.001,0.2
1,36000,False,9,4957d_00000,2025-06-01_19-13-52,1748794432,4.6254048347473145,40.79912066459656,34108,Cerebro,127.0.0.1,40.79912066459656,9,4.551309275890178,1.781225331090151e-05,4.551118001309147,1.0849398713547456,3.4579150976669832,0.006378284117676075,448,0.0639036830002442,80,4000,36000,152.00000000000014,-247.99999999999974,-56.400000000000034,80,80.0,48,4,0,0,24.650000000000002,67.75,0.0,0.0,4000,4000,-28.200000000000017,-28.200000000000017,4000,4000,36000,36000,80.0,80.0,36000,36000,-28.200000000000017,-28.200000000000017,4052,4000,0.0,0.19041280521148923,152070.0,36000,36468,36468,4052.0,0.7480799555778503,0.0007154017221182585,4052,0.0003906250058207661,0.2,0.2845418453216553,0.0,0.0,182.47512817382812,9.0,5.707992076873779,1.5947932004928589,0.032700661569833755,0.04569131135940552,152070.0,0.001,0.2
1,40000,False,10,4957d_00000,2025-06-01_19-13-57,1748794437,4.690364360809326,45.489485025405884,34108,Cerebro,127.0.0.1,45.489485025405884,10,4.552594133131313,1.777813071012632e-05,4.552401701295999,1.0855674586413961,3.4585603246904433,0.006379546276436841,500,0.0649750989995664,80,4000,40000,12.000000000000227,-247.99999999999974,-56.60000000000004,80,80.0,52,4,0,0,19.240000000000002,67.94,0.0,0.0,4000,4000,-28.30000000000002,-28.30000000000002,4000,4000,40000,40000,80.0,80.0,40000,40000,-28.30000000000002,-28.30000000000002,4052,4000,0.0,0.19044522502253267,152070.0,40000,40520,40520,4052.0,0.23750422894954681,0.00039570944500155747,4052,0.00019531250291038305,0.2,0.2607255280017853,0.0,0.0,102.59013366699219,10.0,6.214171886444092,1.5962092876434326,-0.04144987836480141,0.07163780927658081,152070.0,0.001,0.2
