num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_mean,env_runners/episode_duration_sec_mean,env_runners/episode_len_max,env_runners/episode_return_min,env_runners/num_episodes,env_runners/episode_len_min,env_runners/num_episodes_lifetime,env_runners/episode_return_mean,env_runners/num_env_steps_sampled,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,learners/ai/policy_loss,learners/ai/default_optimizer_learning_rate,learners/ai/entropy,learners/ai/vf_loss_unclipped,learners/ai/mean_kl_loss,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/vf_explained_var,learners/ai/num_non_trainable_parameters,learners/ai/weights_seq_no,learners/ai/curr_entropy_coeff,learners/ai/curr_kl_coeff,learners/ai/num_module_steps_trained,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_module_steps_trained_lifetime,learners/ai/total_loss,learners/ai/module_train_batch_size_mean,learners/ai/num_trainable_parameters,learners/ai/vf_loss,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/human/curr_entropy_coeff
1,4000,False,1,f8b14_00000,2025-06-01_15-21-57,1748780517,5.543706893920898,5.543706893920898,34784,Cerebro,127.0.0.1,5.543706893920898,1,5.537866899976507,1.599994720891118e-05,5.53767330001574,1.7916170000098646,3.7400040999636985,0.0042088000336661935,80.0,0.068167398001533,80,-160.0,50,80,50,-160.0,4000,-160.0,4000,2,0,0,22.95,64.8375,-80.0,-80.0,4000,4000,80.0,80.0,4000,4000,-80.0,-80.0,4000,4000,4000,4000,-0.19397014379501343,0.001,1.6080034971237183,143.8077850341797,0.0010625642025843263,0.0,-0.046987175941467285,0,1.0,0.1,0.10000000149011612,4050,0.4133990406990051,4050,0.34640762209892273,4050,152070,7.009655952453613,0.3475781000452116,4000,4000,0,4050,4050,152070,0.1
1,8000,False,2,f8b14_00000,2025-06-01_15-22-01,1748780521,4.837064027786255,10.380770921707153,34784,Cerebro,127.0.0.1,10.380770921707153,2,5.53078603997652,1.601794792804867e-05,5.5305914140155075,1.7884928000101354,3.7360474329639692,0.004205925033311359,80.0,0.061902682999498214,80,-160.0,50,80,100,-159.8,4000,-140.0,8000,2,0,0,16.04285714285714,64.84285714285714,-79.9,-79.9,8000,8000,80.0,80.0,4000,4000,-79.9,-79.9,4000,4000,8000,8000,0.02332800067961216,0.001,1.6088098287582397,262.8006286621094,0.00045440925168804824,0.0,0.15988266468048096,0.0,2.0,0.1,0.05000000074505806,4050,0.5445392727851868,8100,0.5841014981269836,4050.0,152070.0,7.216090202331543,0.34756263664520815,4000,8000,0.0,4050,8100,152070.0,0.1
1,12000,False,3,f8b14_00000,2025-06-01_15-22-07,1748780527,5.636274814605713,16.017045736312866,34784,Cerebro,127.0.0.1,16.017045736312866,3,5.531775856577156,1.599476832780056e-05,5.531579892875196,1.789004103010113,3.7365198126344827,0.004204963783343555,80.0,0.05679788199835457,80,-260.0,50,80,150,-162.8,4000,-140.0,12000,2,0,0,21.6625,64.9,-81.4,-81.4,12000,12000,80.0,80.0,4000,4000,-81.4,-81.4,4000,4000,12000,12000,-0.1626218855381012,0.001,1.6075687408447266,477.6534729003906,0.0008557557011954486,0.0,-0.2690267562866211,0.0,3.0,0.1,0.02500000037252903,4050,1.1266167163848877,12150,0.5319939851760864,4050.0,152070.0,8.553299903869629,0.34754737086319853,4000,12000,0.0,4050,12150,152070.0,0.1
1,16000,False,4,f8b14_00000,2025-06-01_15-22-12,1748780532,4.975973844528198,20.993019580841064,34784,Cerebro,127.0.0.1,20.993019580841064,4,5.526148092011167,1.5947820340807086e-05,5.525951617946045,1.786500352980189,3.7333946525084176,0.004203142145653662,80.0,0.057991588001023046,80,-260.0,50,80,200,-162.6,4000,-120.0,16000,2,0,0,19.45714285714286,64.8,-81.3,-81.3,16000,16000,80.0,80.0,4000,4000,-81.3,-81.3,4000,4000,16000,16000,0.038687609136104584,0.001,1.6070109605789185,457.24462890625,0.00048009114107117057,0.0,0.04750794172286987,0.0,4.0,0.1,0.012500000186264515,4050,0.29267993569374084,16200,0.7245897054672241,4050.0,152070.0,8.465911865234375,0.34751506748316724,4000,16000,0.0,4050,16200,152070.0,0.1
1,20000,False,5,f8b14_00000,2025-06-01_15-22-17,1748780537,5.165426254272461,26.158445835113525,34784,Cerebro,127.0.0.1,26.158445835113525,5,5.522458788090817,1.5892342347229717e-05,5.5222617307667345,1.783592784450493,3.732609421983731,0.004202666723975336,80.0,0.05731168400030583,80,-260.0,50,80,250,-162.6,4000,-120.0,20000,2,0,0,16.971428571428568,64.81428571428572,-81.3,-81.3,20000,20000,80.0,80.0,4000,4000,-81.3,-81.3,4000,4000,20000,20000,-0.1744385063648224,0.001,1.606845498085022,667.4968872070312,0.00030650553526356816,0.0,0.025241732597351074,0.0,5.0,0.1,0.0062500000931322575,4050,0.6350129246711731,20250,0.45245495438575745,4050.0,152070.0,7.875741958618164,0.34746513359365067,4000,20000,0.0,4050,20250,152070.0,0.1
1,24000,False,6,f8b14_00000,2025-06-01_15-22-22,1748780542,5.117372751235962,31.275818586349487,34784,Cerebro,127.0.0.1,31.275818586349487,6,5.518354119210102,1.585441926303451e-05,5.518156401459017,1.7822158806062025,3.7298803047637854,0.004200339056925594,80.0,0.059452381995506585,80,-260.0,50,80,300,-163.6,4000,-140.0,24000,2,0,0,21.128571428571426,64.38571428571427,-81.8,-81.8,24000,24000,80.0,80.0,4000,4000,-81.8,-81.8,4000,4000,24000,24000,0.049801137298345566,0.001,1.6044539213180542,415.6553955078125,0.0009080343879759312,0.0,0.24952375888824463,0.0,6.0,0.1,0.0031250000465661287,4050,0.4395526051521301,24300,0.7010635137557983,4050.0,152070.0,8.117020606994629,0.34740056324517765,4000,24000,0.0,4050,24300,152070.0,0.1
1,28000,False,7,f8b14_00000,2025-06-01_15-22-28,1748780548,5.532558917999268,36.808377504348755,34784,Cerebro,127.0.0.1,36.808377504348755,7,5.518432302018448,1.5894875421535126e-05,5.518233300444491,1.780865241800045,3.731299942716239,0.004201434666242181,80.0,0.05899978699628264,80,-260.0,50,80,350,-162.0,4000,-100.0,28000,2,0,0,20.6625,64.5625,-81.0,-81.0,28000,28000,80.0,80.0,4000,4000,-81.0,-81.0,4000,4000,28000,28000,-0.04960838332772255,0.001,1.6032320261001587,373.7832336425781,0.0008054065401665866,0.0,0.24424654245376587,0.0,7.0,0.1,0.0015625000232830644,4050,0.21775490045547485,28350,0.6287214159965515,4050.0,152070.0,8.386504173278809,0.3473197091103138,4000,28000,0.0,4050,28350,152070.0,0.1
1,32000,False,8,f8b14_00000,2025-06-01_15-22-33,1748780553,5.257641077041626,42.06601858139038,34784,Cerebro,127.0.0.1,42.06601858139038,8,5.5157783819986825,1.5854926991367874e-05,5.5155788184402414,1.7809783143825322,3.72853417328852,0.004196734319653579,80.0,0.06070951899630018,80,-260.0,50,80,400,-162.4,4000,-100.0,32000,2,0,0,19.314285714285717,64.64285714285715,-81.2,-81.2,32000,32000,80.0,80.0,4000,4000,-81.2,-81.2,4000,4000,32000,32000,-0.07148981839418411,0.001,1.6045324802398682,400.65179443359375,0.0003584400983527303,0.0,0.16091889142990112,0.0,8.0,0.1,0.0007812500116415322,4050,0.37476515769958496,32400,0.490896999835968,4050.0,152070.0,7.228394508361816,0.34722502380182124,4000,32000,0.0,4050,32400,152070.0,0.1
1,36000,False,9,f8b14_00000,2025-06-01_15-22-38,1748780558,5.3325276374816895,47.39854621887207,34784,Cerebro,127.0.0.1,47.39854621887207,9,5.513878528178659,1.5901378118272118e-05,5.5136771972562535,1.7799796002385206,3.7276318935560213,0.004192502976251721,80.0,0.06156535399728455,80,-260.0,50,80,450,-160.8,4000,-140.0,36000,2,0,0,16.762500000000003,64.6,-80.4,-80.4,36000,36000,80.0,80.0,4000,4000,-80.4,-80.4,4000,4000,36000,36000,-0.07862968742847443,0.001,1.6038126945495605,556.0911254882812,0.0004863588837906718,0.0,0.2293684482574463,0.0,9.0,0.1,0.0003906250058207661,4050,0.2860710918903351,36450,0.5792273283004761,4050.0,152070.0,8.182379722595215,0.34711426781858573,4000,36000,0.0,4050,36450,152070.0,0.1
1,40000,False,10,f8b14_00000,2025-06-01_15-22-44,1748780564,5.260487794876099,52.65903401374817,34784,Cerebro,127.0.0.1,52.65903401374817,10,5.511270235896813,1.58763647753549e-05,5.511067965283265,1.7787895342360447,3.726188798620405,0.0042067959461524074,80.0,0.060132022999459876,80,-260.0,50,80,500,-161.8,4000,-140.0,40000,2,0,0,22.314285714285713,64.60000000000001,-80.9,-80.9,40000,40000,80.0,80.0,4000,4000,-80.9,-80.9,4000,4000,40000,40000,-0.055920280516147614,0.001,1.6039446592330933,585.9448852539062,0.00042862739064730704,0.0,0.09809130430221558,0.0,10.0,0.1,0.00019531250291038305,4050,0.4472741186618805,40500,0.6014047265052795,4050.0,152070.0,8.177192687988281,0.34699022343263186,4000,40000,0.0,4050,40500,152070.0,0.1
