num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_max,env_runners/episode_return_max,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/episode_duration_sec_mean,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,learners/ai/curr_entropy_coeff,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/entropy,learners/ai/vf_explained_var,learners/ai/vf_loss_unclipped,learners/ai/num_module_steps_trained_lifetime,learners/ai/num_non_trainable_parameters,learners/ai/default_optimizer_learning_rate,learners/ai/weights_seq_no,learners/ai/module_train_batch_size_mean,learners/ai/mean_kl_loss,learners/ai/num_module_steps_trained,learners/ai/vf_loss,learners/ai/num_trainable_parameters,learners/ai/total_loss,learners/ai/policy_loss,learners/ai/curr_kl_coeff,learners/ai/gradients_default_optimizer_global_norm,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/human/curr_entropy_coeff
1,4000,False,1,2001d_00000,2025-06-01_18-21-59,1748791319,4.549239158630371,4.549239158630371,46596,Cerebro,127.0.0.1,4.549239158630371,1,4.54077680001501,1.8899969290941954e-05,4.54056729999138,1.1136722000082955,3.417290699959267,0.007640900032129139,80,351.9999999999992,-85.49999999999999,80,4000,80.0,-267.99999999999983,0.0839241937501356,48,48,4000,4,0,0,21.333333333333332,65.46666666666667,0.0,0.0,4000,4000,80.0,80.0,-42.74999999999999,-42.74999999999999,4000,4000,4000,4000,-42.74999999999999,-42.74999999999999,4000,4000,0.2,0.0,1.6080245971679688,-0.005966067314147949,769.7471923828125,4052,0,0.001,1.0,4052,0.0009641635115258396,4052,5.966660499572754,152070,0.07209642231464386,-0.20315757393836975,0.10000000149011612,0.14541511237621307,4052,0.1699079999816604,4000,152070,4052,0,4000,0.2
1,8000,False,2,2001d_00000,2025-06-01_18-22-03,1748791323,4.291543245315552,8.840782403945923,46596,Cerebro,127.0.0.1,8.840782403945923,2,4.538178227014723,1.8887969781644644e-05,4.537967986991862,1.1105684820079478,3.4178117169596955,0.007623992032022216,80,351.9999999999992,-88.8,80,8000,80.0,-268.00000000000034,0.07127497800218408,52,100,4000,4,0,0,17.38,65.46,0.0,0.0,4000,4000,80.0,80.0,-44.4,-44.4,4000,4000,8000,8000,-44.4,-44.4,8000,8000,0.2,0.0,1.6072440147399902,-0.04141104221343994,177.86929321289062,8104,0.0,0.001,2.0,4052.0,0.0009453184902667999,4052,7.296331405639648,152070.0,0.3646776080131531,-0.043601252138614655,0.05000000074505806,0.2666824758052826,4052,0.16992206419166178,8000,152070.0,8104,0.0,4000,0.2
1,12000,False,3,2001d_00000,2025-06-01_18-22-08,1748791328,4.432769536972046,13.273551940917969,46596,Cerebro,127.0.0.1,13.273551940917969,3,4.537022110744268,1.882908990955912e-05,4.5368113351219215,1.108507078187674,3.418710036790051,0.007629535111616133,80,351.9999999999998,-82.4,80,12000,80.0,-268.00000000000045,0.06324924600368831,48,148,4000,4,0,0,29.859999999999996,65.44000000000001,0.0,0.0,4000,4000,80.0,80.0,-41.2,-41.2,4000,4000,12000,12000,-41.2,-41.2,12000,12000,0.2,0.0,1.6066774129867554,0.04629451036453247,132.8821563720703,12156,0.0,0.001,3.0,4052.0,0.0006750348256900907,4052,7.091538429260254,152070.0,0.4132271409034729,0.025375060737133026,0.02500000037252903,0.15415939688682556,4052,0.16993693917746072,12000,152070.0,12156,0.0,4000,0.2
1,16000,False,4,2001d_00000,2025-06-01_18-22-12,1748791332,4.0848047733306885,17.358356714248657,46596,Cerebro,127.0.0.1,17.358356714248657,4,4.5324182816366125,1.881379916361766e-05,4.532206122770683,1.1053601074058257,3.4172577484225677,0.007618390760662558,80,351.9999999999998,-70.60000000000002,80,16000,80.0,-268.00000000000045,0.06257850100053475,52,200,4000,4,0,0,16.583333333333332,65.48333333333333,0.0,0.0,4000,4000,80.0,80.0,-35.30000000000001,-35.30000000000001,4000,4000,16000,16000,-35.30000000000001,-35.30000000000001,16000,16000,0.2,0.0,1.6059595346450806,0.061425983905792236,98.93099212646484,16208,0.0,0.001,4.0,4052.0,0.0005148705677129328,4052,7.508452415466309,152070.0,0.7027791738510132,0.2731130123138428,0.012500000186264515,0.5059638619422913,4052,0.1699515918871241,16000,152070.0,16208,0.0,4000,0.2
1,20000,False,5,2001d_00000,2025-06-01_18-22-16,1748791336,4.653012752532959,22.011369466781616,46596,Cerebro,127.0.0.1,22.011369466781616,5,4.533532944820483,1.8754660990097912e-05,4.5333196605429364,1.1028934283315805,3.420835281938256,0.007602613852602035,80,-48.00000000000003,-70.80000000000001,80,20000,80.0,-247.99999999999977,0.06033585999975912,48,248,4000,4,0,0,28.76666666666667,65.45,0.0,0.0,4000,4000,80.0,80.0,-35.400000000000006,-35.400000000000006,4000,4000,20000,20000,-35.400000000000006,-35.400000000000006,20000,20000,0.2,0.0,1.605285406112671,-0.0824049711227417,126.55752563476562,20260,0.0,0.001,5.0,4052.0,0.00071034423308447,4052,6.897660732269287,152070.0,0.4157836437225342,0.047065723687410355,0.0062500000931322575,0.23163647949695587,4052,0.16998148419867457,20000,152070.0,20260,0.0,4000,0.2
1,24000,False,6,2001d_00000,2025-06-01_18-22-21,1748791341,4.294301986694336,26.305671453475952,46596,Cerebro,127.0.0.1,26.305671453475952,6,4.531031785372557,1.8698114795618957e-05,4.530817767937499,1.1007090070484866,3.420518989118508,0.00759878171431643,80,-47.999999999999794,-64.00000000000003,80,24000,80.0,-247.99999999999977,0.0640166670025792,52,300,4000,4,0,0,22.220000000000002,65.5,0.0,0.0,4000,4000,80.0,80.0,-32.000000000000014,-32.000000000000014,4000,4000,24000,24000,-32.000000000000014,-32.000000000000014,24000,24000,0.2,0.0,1.6048500537872314,-0.10342288017272949,55.84518051147461,24312,0.0,0.001,6.0,4052.0,0.00024018733529374003,4052,7.200249195098877,152070.0,0.4587913751602173,0.059734977781772614,0.0031250000465661287,0.09366104006767273,4052,0.17000942038480263,24000,152070.0,24312,0.0,4000,0.2
1,28000,False,7,2001d_00000,2025-06-01_18-22-26,1748791346,4.68328857421875,30.988960027694702,46596,Cerebro,127.0.0.1,30.988960027694702,7,4.532459684519216,1.8659133610454567e-05,4.532244003258647,1.0985264729776012,3.424127075227411,0.007591200897099349,80,-47.999999999999794,-59.60000000000004,80,28000,80.0,-248.0,0.06463494400144555,48,348,4000,4,0,0,23.083333333333332,65.5,0.0,0.0,4000,4000,80.0,80.0,-29.80000000000002,-29.80000000000002,4000,4000,28000,28000,-29.80000000000002,-29.80000000000002,28000,28000,0.2,0.0,1.6018056869506836,-0.18321776390075684,89.6316146850586,28364,0.0,0.001,7.0,4052.0,0.0011178305139765143,4052,6.319705009460449,152070.0,0.27402445673942566,-0.03758836165070534,0.0015625000232830644,1.2812947034835815,4052,0.1700526362587852,28000,152070.0,28364,0.0,4000,0.2
1,32000,False,8,2001d_00000,2025-06-01_18-22-30,1748791350,4.166550159454346,35.15551018714905,46596,Cerebro,127.0.0.1,35.15551018714905,8,4.528706754673977,1.861454219145486e-05,4.528490053226269,1.0963152212479,3.4225940724754156,0.0075743218882716006,80,-48.00000000000003,-63.400000000000034,80,32000,80.0,-248.0,0.06399360799929127,52,400,4000,4,0,0,23.7,65.46,0.0,0.0,4000,4000,80.0,80.0,-31.700000000000017,-31.700000000000017,4000,4000,32000,32000,-31.700000000000017,-31.700000000000017,32000,32000,0.2,0.0,1.601483941078186,-0.09412336349487305,258.3293762207031,32416,0.0,0.001,8.0,4052.0,0.0003015528491232544,4052,7.37613582611084,152070.0,0.6430948376655579,0.2257775366306305,0.0007812500116415322,0.5105846524238586,4052,0.17009374130324567,32000,152070.0,32416,0.0,4000,0.2
1,36000,False,9,2001d_00000,2025-06-01_18-22-34,1748791354,4.50015115737915,39.6556613445282,46596,Cerebro,127.0.0.1,39.6556613445282,9,4.528328646127259,1.8547397093588413e-05,4.528111463694239,1.0942212170352152,3.4243100357504352,0.0075697596694828135,80,152.00000000000006,-58.400000000000034,80,36000,80.0,-247.99999999999983,0.06466957200143952,48,448,4000,4,0,0,26.24,65.4,0.0,0.0,4000,4000,80.0,80.0,-29.200000000000017,-29.200000000000017,4000,4000,36000,36000,-29.200000000000017,-29.200000000000017,36000,36000,0.2,0.0,1.5992107391357422,0.02390611171722412,56.6886100769043,36468,0.0,0.001,9.0,4052.0,0.0009620102355256677,4052,6.644858360290527,152070.0,0.3062712252140045,-0.03837316855788231,0.0003906250058207661,0.5322006940841675,4052,0.17013377456319093,36000,152070.0,36468,0.0,4000,0.2
1,40000,False,10,2001d_00000,2025-06-01_18-22-39,1748791359,4.65856671333313,44.31422805786133,46596,Cerebro,127.0.0.1,44.31422805786133,10,4.5295384506659975,1.850992308544433e-05,4.52932014805727,1.0919438998652649,3.427791653392739,0.007564871072959706,80,152.00000000000006,-57.000000000000036,80,40000,80.0,-207.99999999999986,0.06456051800516434,52,500,4000,4,0,0,27.483333333333334,65.73333333333333,0.0,0.0,4000,4000,80.0,80.0,-28.500000000000018,-28.500000000000018,4000,4000,40000,40000,-28.500000000000018,-28.500000000000018,40000,40000,0.2,0.0,1.6004221439361572,-0.009634137153625488,63.25270462036133,40520,0.0,0.001,10.0,4052.0,0.00024508635397069156,4052,6.891170978546143,152070.0,0.31654661893844604,-0.052486155182123184,0.00019531250291038305,0.3278321921825409,4052,0.17017282601380707,40000,152070.0,40520,0.0,4000,0.2
