num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_mean,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_duration_sec_mean,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,learners/ai/gradients_default_optimizer_global_norm,learners/ai/weights_seq_no,learners/ai/default_optimizer_learning_rate,learners/ai/num_trainable_parameters,learners/ai/vf_loss_unclipped,learners/ai/policy_loss,learners/ai/curr_entropy_coeff,learners/ai/vf_loss,learners/ai/module_train_batch_size_mean,learners/ai/curr_kl_coeff,learners/ai/total_loss,learners/ai/entropy,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/mean_kl_loss,learners/ai/num_non_trainable_parameters,learners/ai/vf_explained_var,learners/ai/num_module_steps_trained,learners/ai/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,2e95e_00000,2025-06-01_19-33-58,1748795638,4.46767783164978,4.46767783164978,60812,Cerebro,127.0.0.1,4.46767783164978,1,4.457829899969511,2.519995905458927e-05,4.457583600014914,1.1313279999885708,3.316616799973417,0.007515700010117143,80.0,-172.1666666666667,80,192.0000000000003,4000,-528.000000000001,80,48,48,4000,0.08508250624799985,4,0,0,20.183333333333334,67.38333333333334,0.0,0.0,-86.08333333333336,-86.08333333333336,4000,4000,4000,4000,-86.08333333333336,-86.08333333333336,80.0,80.0,4000,4000,4000,4000,0.19897988438606262,1.0,0.001,145926,1463.688232421875,-0.00017565583402756602,0.2,8.845417976379395,4052,0.10000000149011612,0.5642206072807312,1.6016126871109009,0.0,0.0008846552227623761,0,-0.008142232894897461,4052,4052,145926,0,4052,4000,4052,0.17649500002153218,4000,0.2
1,8000,False,2,2e95e_00000,2025-06-01_19-34-03,1748795643,4.359133243560791,8.826811075210571,60812,Cerebro,127.0.0.1,8.826811075210571,2,4.456755690969876,2.5327959447167812e-05,4.4565073350147575,1.1285329129884485,3.3183482809737326,0.007504140009987168,80.0,-151.00000000000009,80,331.9999999999992,4000,-728.0000000000011,80,52,100,8000,0.07388421500043478,4,0,0,25.5,67.42,0.0,0.0,-75.50000000000004,-75.50000000000004,4000,4000,8000,8000,-75.50000000000004,-75.50000000000004,80.0,80.0,4000,4000,8000,8000,0.2509128451347351,2.0,0.001,145926.0,1261.1143798828125,0.07159537822008133,0.2,8.979703903198242,4052.0,0.05000000074505806,0.6498324871063232,1.5990302562713623,0.0,0.0007277287659235299,0.0,-0.01127779483795166,4052,8104,145926.0,0.0,4052,4000,8104,0.17650970382153175,8000,0.2
1,12000,False,3,2e95e_00000,2025-06-01_19-34-07,1748795647,4.3775999546051025,13.204411029815674,60812,Cerebro,127.0.0.1,13.204411029815674,3,4.4558577470598335,2.5200679647969078e-05,4.455609045664843,1.1261386678583338,3.319856635163841,0.007492184610042022,80.0,-126.60000000000004,80,331.9999999999992,4000,-728.0000000000011,80,48,148,12000,0.06466626200242899,4,0,0,27.5,67.44000000000001,0.0,0.0,-63.30000000000002,-63.30000000000002,4000,4000,12000,12000,-63.30000000000002,-63.30000000000002,80.0,80.0,4000,4000,12000,12000,0.4889489710330963,3.0,0.001,145926.0,1133.09130859375,0.15993572771549225,0.2,7.598260402679443,4052.0,0.02500000037252903,0.6002328991889954,1.5978357791900635,0.0,0.0007653363863937557,0.0,-0.05750441551208496,4052,12156,145926.0,0.0,4052,4000,12156,0.17652596745552673,12000,0.2
1,16000,False,4,2e95e_00000,2025-06-01_19-34-11,1748795651,4.057870149612427,17.2622811794281,60812,Cerebro,127.0.0.1,17.2622811794281,4,4.4517877325893425,2.506167254777392e-05,4.451539000207756,1.1230095881795101,3.3189319418121426,0.007476165763677039,80.0,-119.6,80,112.00000000000023,4000,-928.0000000000009,80,52,200,16000,0.06293500400206539,4,0,0,19.939999999999998,67.46000000000001,0.0,0.0,-59.8,-59.8,4000,4000,16000,16000,-59.8,-59.8,80.0,80.0,4000,4000,16000,16000,0.2711935043334961,4.0,0.001,145926.0,725.5292358398438,-0.031153090298175812,0.2,7.976065635681152,4052.0,0.012500000186264515,0.44762131571769714,1.5942349433898926,0.0,0.0005949985352344811,0.0,-0.1541377305984497,4052,16208,145926.0,0.0,4052,4000,16208,0.17653991384646242,16000,0.2
1,20000,False,5,2e95e_00000,2025-06-01_19-34-16,1748795656,4.701245069503784,21.963526248931885,60812,Cerebro,127.0.0.1,21.963526248931885,5,4.4541945272633265,2.4939056214874725e-05,4.453945450205529,1.1204513092978556,3.3239018023940963,0.007469929106282786,80.0,-105.80000000000001,80,311.9999999999995,4000,-928.0000000000009,80,48,248,20000,0.062050334003870375,4,0,0,25.2,67.42857142857143,0.0,0.0,-52.900000000000006,-52.900000000000006,4000,4000,20000,20000,-52.900000000000006,-52.900000000000006,80.0,80.0,4000,4000,20000,20000,0.8056104779243469,5.0,0.001,145926.0,800.5750122070312,0.041252996772527695,0.2,7.460506439208984,4052.0,0.0062500000931322575,0.4687114953994751,1.592984914779663,0.0,0.0003909165388904512,0.0,-0.2573509216308594,4052,20260,145926.0,0.0,4052,4000,20260,0.17656799294283468,20000,0.2
1,24000,False,6,2e95e_00000,2025-06-01_19-34-20,1748795660,4.224565029144287,26.188091278076172,60812,Cerebro,127.0.0.1,26.188091278076172,6,4.451792777990803,2.481466602246104e-05,4.451543071703691,1.1183111482050092,3.323492379370522,0.00761229681497762,80.0,-83.40000000000003,80,311.9999999999995,4000,-528.0000000000009,80,52,300,24000,0.06586638900393155,4,0,0,23.740000000000002,67.47999999999999,0.0,0.0,-41.70000000000002,-41.70000000000002,4000,4000,24000,24000,-41.70000000000002,-41.70000000000002,80.0,80.0,4000,4000,24000,24000,0.5566868782043457,6.0,0.001,145926.0,963.6626586914062,-0.18932539224624634,0.2,7.401701927185059,4052.0,0.0031250000465661287,0.232264444231987,1.592915415763855,0.0,0.0004283972957637161,0.0,0.07676690816879272,4052,24312,145926.0,0.0,4052,4000,24312,0.17659504627589495,24000,0.2
1,28000,False,7,2e95e_00000,2025-06-01_19-34-25,1748795665,4.609485387802124,30.797576665878296,60812,Cerebro,127.0.0.1,30.797576665878296,7,4.4532455402109985,2.469951921081083e-05,4.452995005987051,1.1160231647232537,3.3272372115770357,0.007602063846796775,80.0,-71.20000000000002,80,311.99999999999864,4000,-468.00000000000034,80,48,348,28000,0.06695083200058434,4,0,0,22.683333333333334,67.5,0.0,0.0,-35.60000000000001,-35.60000000000001,4000,4000,28000,28000,-35.60000000000001,-35.60000000000001,80.0,80.0,4000,4000,28000,28000,0.5700778961181641,7.0,0.001,145926.0,461.2371520996094,-0.14391733705997467,0.2,7.368273735046387,4052.0,0.0015625000232830644,0.2742270529270172,1.593435525894165,0.0,0.0013356759445741773,0.0,0.12740164995193481,4052,28364,145926.0,0.0,4052,4000,28364,0.17663641499299704,28000,0.2
1,32000,False,8,2e95e_00000,2025-06-01_19-34-29,1748795669,4.239984750747681,35.03756141662598,60812,Cerebro,127.0.0.1,35.03756141662598,8,4.451027379808703,2.460552401956699e-05,4.450776407927287,1.1143420510760387,3.326710539461352,0.007589492208337211,80.0,-54.60000000000001,80,351.99999999999886,4000,-468.00000000000034,80,52,400,32000,0.06761537400132511,4,0,0,22.7,67.42500000000001,0.0,0.0,-27.300000000000004,-27.300000000000004,4000,4000,32000,32000,-27.300000000000004,-27.300000000000004,80.0,80.0,4000,4000,32000,32000,0.25870925188064575,8.0,0.001,145926.0,334.28875732421875,0.11130660772323608,0.2,6.613208770751953,4052.0,0.0007812500116415322,0.4545246362686157,1.5905213356018066,0.0,0.0009082005708478391,0.0,-0.010490179061889648,4052,32416,145926.0,0.0,4052,4000,32416,0.17667627688112728,32000,0.2
1,36000,False,9,2e95e_00000,2025-06-01_19-34-34,1748795674,4.780343770980835,39.81790518760681,60812,Cerebro,127.0.0.1,39.81790518760681,9,4.454218236010094,2.4516468810693557e-05,4.453966476847998,1.1118385995650562,3.329328659066831,0.01066305928625506,80.0,-55.000000000000036,80,352.0000000000001,4000,-368.0000000000001,80,48,448,36000,0.06615619100048206,4,0,0,22.77142857142857,67.39999999999999,0.0,0.0,-27.500000000000018,-27.500000000000018,4000,4000,36000,36000,-27.500000000000018,-27.500000000000018,80.0,80.0,4000,4000,36000,36000,0.37134838104248047,9.0,0.001,145926.0,1590.4901123046875,-0.11536766588687897,0.2,8.11701488494873,4052.0,0.0003906250058207661,0.37867191433906555,1.588315486907959,0.0,0.001454262062907219,0.0,-0.019566655158996582,4052,36468,145926.0,0.0,4052,4000,36468,0.1767138679199965,36000,0.2
1,40000,False,10,2e95e_00000,2025-06-01_19-34-38,1748795678,4.180825471878052,43.99873065948486,60812,Cerebro,127.0.0.1,43.99873065948486,10,4.45139842664964,2.4411304024462476e-05,4.451146398079481,1.109488874569473,3.3288845344759284,0.01063121669301224,80.0,-57.00000000000002,80,371.9999999999993,4000,-528.0000000000008,80,52,500,40000,0.06422996200213675,4,0,0,22.259999999999998,67.46000000000001,0.0,0.0,-28.50000000000001,-28.50000000000001,4000,4000,40000,40000,-28.50000000000001,-28.50000000000001,80.0,80.0,4000,4000,40000,40000,1.0397652387619019,10.0,0.001,145926.0,1508.3878173828125,0.054629918187856674,0.2,7.585518836975098,4052.0,0.00019531250291038305,0.49674415588378906,1.5821894407272339,0.0,0.0006924548652023077,0.0,0.04468196630477905,4052,40520,145926.0,0.0,4052,4000,40520,0.17674997162039968,40000,0.2
