num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_max,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,env_runners/num_episodes,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_min,env_runners/episode_len_min,env_runners/episode_len_mean,env_runners/num_episodes_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,learners/ai/num_module_steps_trained_lifetime,learners/ai/vf_loss,learners/ai/mean_kl_loss,learners/ai/entropy,learners/ai/policy_loss,learners/ai/weights_seq_no,learners/ai/curr_entropy_coeff,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_non_trainable_parameters,learners/ai/total_loss,learners/ai/curr_kl_coeff,learners/ai/num_trainable_parameters,learners/ai/vf_explained_var,learners/ai/default_optimizer_learning_rate,learners/ai/num_module_steps_trained,learners/ai/vf_loss_unclipped,learners/ai/module_train_batch_size_mean,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,80bdb_00000,2025-06-01_17-20-19,1748787619,8.171149253845215,8.171149253845215,9160,Cerebro,127.0.0.1,8.171149253845215,1,8.15924750000704,1.869996776804328e-05,8.159059799974784,1.3685908999759704,6.467144299997017,0.3215429999982007,80,0.08014182916182715,-85.0,48,70.0,4000,4000,-150.0,80,80.0,48,4,0,0,19.02,67.11,0.0,0.0,4000,4000,-42.5,-42.5,4000,4000,-42.5,-42.5,80.0,80.0,4000,4000,4000,4000,4052,5.0638837814331055,0.000567782437428832,1.6022189855575562,0.19855114817619324,1.0,0.2,0.0,0.31157585978507996,0,0.38460925221443176,0.10000000149011612,152070,-0.007168292999267578,0.0005,4052,43.52086639404297,4052,4000,4052,0,0.16379920003237203,152070,4052,4000,0.2
1,8000,False,2,80bdb_00000,2025-06-01_17-20-27,1748787627,7.664302110671997,15.835451364517212,9160,Cerebro,127.0.0.1,15.835451364517212,2,8.154193501006812,1.8697967752814294e-05,8.154004741975223,1.3640739869762912,6.469757634997367,0.31838986299815586,80,0.07316588699701242,-88.5,52,70.0,4000,8000,-240.0,80,80.0,100,4,0,0,20.27,66.83999999999999,0.0,0.0,8000,8000,-44.25,-44.25,4000,4000,-44.25,-44.25,80.0,80.0,8000,8000,4000,4000,8104,6.147400379180908,0.0005888008745387197,1.5998929738998413,-0.08065075427293777,2.0,0.2,0.0,0.40077367424964905,0.0,0.21416951715946198,0.05000000074505806,152070.0,-0.009347796440124512,0.0005,4052,61.43677520751953,4052.0,4000,8104,0.0,0.16381575221236563,152070.0,4052,8000,0.2
1,12000,False,3,80bdb_00000,2025-06-01_17-20-35,1748787635,7.674523115158081,23.509974479675293,9160,Cerebro,127.0.0.1,23.509974479675293,3,8.149312587996642,1.8637987878173593e-05,8.149122783555155,1.359031194106472,6.4730340166474685,0.3152668853681418,80,0.0654866350023076,-88.8,48,0.0,4000,12000,-240.0,80,80.0,148,4,0,0,20.84444444444444,66.8111111111111,0.0,0.0,12000,12000,-44.4,-44.4,4000,4000,-44.4,-44.4,80.0,80.0,12000,12000,4000,4000,12156,6.714299201965332,0.0004328764625824988,1.6004481315612793,0.13599872589111328,3.0,0.2,0.0,0.4529145658016205,0.0,0.4873606562614441,0.02500000037252903,152070.0,-0.017754077911376953,0.0005,4052,93.92069244384766,4052.0,4000,12156,0.0,0.1638321305887576,152070.0,4052,12000,0.2
1,16000,False,4,80bdb_00000,2025-06-01_17-20-42,1748787642,7.789646148681641,31.299620628356934,9160,Cerebro,127.0.0.1,31.299620628356934,4,8.145621967116238,1.857060774136335e-05,8.145431486719358,1.3538063481658031,6.47764709048088,0.31218412451417427,80,0.06282768700504676,-87.0,52,0.0,4000,16000,-150.0,80,80.0,200,4,0,0,20.330000000000002,66.78,0.0,0.0,16000,16000,-43.5,-43.5,4000,4000,-43.5,-43.5,80.0,80.0,16000,16000,4000,4000,16208,7.501870155334473,0.0008299535838887095,1.6022779941558838,-0.164029061794281,4.0,0.2,0.0,0.5292150974273682,0.0,0.2657231092453003,0.012500000186264515,152070.0,0.03803616762161255,0.0005,4052,171.70068359375,4052.0,4000,16208,0.0,0.16384869309240102,152070.0,4052,16000,0.2
1,20000,False,5,80bdb_00000,2025-06-01_17-20-50,1748787650,8.114383459091187,39.41400408744812,9160,Cerebro,127.0.0.1,39.41400408744812,5,8.145215004445053,1.8514901489680637e-05,8.14502361085222,1.348803019684139,6.48529666857584,0.3091249112691923,80,0.06233779700181913,-89.1,48,-60.0,4000,20000,-240.0,80,80.0,248,4,0,0,22.05,67.13000000000002,0.0,0.0,20000,20000,-44.55,-44.55,4000,4000,-44.55,-44.55,80.0,80.0,20000,20000,4000,4000,20260,7.83555793762207,0.0003856721450574696,1.6047472953796387,-0.13116227090358734,5.0,0.2,0.0,0.674026608467102,0.0,0.33144885301589966,0.0062500000931322575,152070.0,-0.0012923479080200195,0.0005,4052,196.37586975097656,4052.0,4000,20260,0.0,0.16388186016291054,152070.0,4052,20000,0.2
1,24000,False,6,80bdb_00000,2025-06-01_17-20-58,1748787658,7.890486240386963,47.30449032783508,9160,Cerebro,127.0.0.1,47.30449032783508,6,8.142569642400531,1.8585752677864306e-05,8.142376382743366,1.3437259184869534,6.490750143890519,0.306093320156164,80,0.06229431899904739,-88.6,52,-30.0,4000,24000,-240.0,80,80.0,300,4,0,0,22.08888888888889,67.23333333333333,0.0,0.0,24000,24000,-44.3,-44.3,4000,4000,-44.3,-44.3,80.0,80.0,24000,24000,4000,4000,24312,7.245540618896484,0.0005557789118029177,1.6035549640655518,0.04754992201924324,6.0,0.2,0.0,0.1827358901500702,0.0,0.45139649510383606,0.0031250000465661287,152070.0,0.06799048185348511,0.0005,4052,122.30089569091797,4052.0,4000,24312,0.0,0.16391374868270203,152070.0,4052,24000,0.2
1,28000,False,7,80bdb_00000,2025-06-01_17-21-06,1748787666,7.969665288925171,55.274155616760254,9160,Cerebro,127.0.0.1,55.274155616760254,7,8.140754617976505,1.850589537614535e-05,8.140560833915831,1.3385127313020957,6.497139761451842,0.30309731095478265,80,0.06074205299955793,-86.4,48,-30.0,4000,28000,-140.0,80,80.0,348,4,0,0,21.272727272727277,67.2090909090909,0.0,0.0,28000,28000,-43.2,-43.2,4000,4000,-43.2,-43.2,80.0,80.0,28000,28000,4000,4000,28364,7.084854602813721,0.00041982592665590346,1.603344440460205,0.18607234954833984,7.0,0.2,0.0,0.5775128602981567,0.0,0.5738902688026428,0.0015625000232830644,152070.0,0.013264596462249756,0.0005,4052,120.18576049804688,4052.0,4000,28364,0.0,0.1639473226860788,152070.0,4052,28000,0.2
1,32000,False,8,80bdb_00000,2025-06-01_17-21-14,1748787674,7.839648246765137,63.11380386352539,9160,Cerebro,127.0.0.1,63.11380386352539,8,8.137621469796953,1.8441836179584377e-05,8.137426398576775,1.3342776179889717,6.501191395837728,0.300132899845082,80,0.06359491500130389,-86.6,52,70.0,4000,32000,-230.0,80,80.0,400,4,0,0,20.955555555555552,67.2,0.0,0.0,32000,32000,-43.3,-43.3,4000,4000,-43.3,-43.3,80.0,80.0,32000,32000,4000,4000,32416,7.434225082397461,0.0002986124309245497,1.60250723361969,-0.04281187802553177,8.0,0.2,0.0,0.36574557423591614,0.0,0.38010963797569275,0.0007812500116415322,152070.0,0.05023413896560669,0.0005,4052,214.48699951171875,4052.0,4000,32416,0.0,0.1639971603745224,152070.0,4052,32000,0.2
1,36000,False,9,80bdb_00000,2025-06-01_17-21-22,1748787682,7.631214618682861,70.74501848220825,9160,Cerebro,127.0.0.1,70.74501848220825,9,8.13246269909905,1.8391417673977426e-05,8.132266501590927,1.3303216228091486,6.502919060879628,0.2971947488463223,80,0.06691040100064129,-87.1,48,160.0,4000,36000,-230.0,80,80.0,448,4,0,0,19.477777777777774,67.13333333333334,0.0,0.0,36000,36000,-43.55,-43.55,4000,4000,-43.55,-43.55,80.0,80.0,36000,36000,4000,4000,36468,6.612987995147705,0.0002605328045319766,1.6014784574508667,-0.04159606248140335,9.0,0.2,0.0,0.1705898940563202,0.0,0.2994072735309601,0.0003906250058207661,152070.0,0.08798956871032715,0.0005,4052,340.2143859863281,4052.0,4000,36468,0.0,0.16404735652692715,152070.0,4052,36000,0.2
1,40000,False,10,80bdb_00000,2025-06-01_17-21-30,1748787690,7.7719972133636475,78.5170156955719,9160,Cerebro,127.0.0.1,78.5170156955719,10,8.128761639108323,1.8325503813671258e-05,8.128564768575009,1.32685568558126,6.505585877270881,0.29428764735802754,80,0.06966128499712795,-85.9,52,160.0,4000,40000,-230.0,80,80.0,500,4,0,0,21.89090909090909,67.10909090909091,0.0,0.0,40000,40000,-42.95,-42.95,4000,4000,-42.95,-42.95,80.0,80.0,40000,40000,4000,4000,40520,6.56788969039917,0.00038302611210383475,1.6010159254074097,0.06823726743459702,10.0,0.2,0.0,0.5460458993911743,0.0,0.4048232436180115,0.00019531250291038305,152070.0,0.03963279724121094,0.0005,4052,215.11561584472656,4052.0,4000,40520,0.0,0.16409760918025018,152070.0,4052,40000,0.2
