num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/episode_len_mean,env_runners/episode_duration_sec_mean,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_env_steps_sampled,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/num_env_steps_sampled_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,learners/ai/vf_loss_unclipped,learners/ai/num_non_trainable_parameters,learners/ai/mean_kl_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/total_loss,learners/ai/weights_seq_no,learners/ai/entropy,learners/ai/vf_explained_var,learners/ai/module_train_batch_size_mean,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/num_module_steps_trained,learners/ai/curr_entropy_coeff,learners/ai/policy_loss,learners/ai/vf_loss,learners/ai/curr_kl_coeff,learners/ai/default_optimizer_learning_rate,learners/ai/num_module_steps_trained_lifetime,learners/ai/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained,learners/human/curr_entropy_coeff
1,4000,False,1,0293d_00000,2025-06-02_00-33-23,1748813603,4.465841770172119,4.465841770172119,63004,Cerebro,127.0.0.1,4.465841770172119,1,4.4558841999969445,2.239999594166875e-05,4.455631600052584,1.1419514000299387,3.305203200026881,0.006370099959895015,48,48,311.99999999999875,80.0,0.08534141874649019,-668.0000000000005,80,4000,-203.00000000000026,80,4000,4,0,0,21.116666666666664,71.08333333333333,0.0,0.0,80.0,80.0,-101.50000000000013,-101.50000000000013,4000,4000,-101.50000000000013,-101.50000000000013,4000,4000,4000,4000,4000,4000,2373.081298828125,0,0.0007786595961079001,0.09794852882623672,0.6222410798072815,1.0,1.6069766283035278,-0.020268797874450684,4052,0.0,4052,0.2,0.10421397536993027,8.392666816711426,0.10000000149011612,0.0005,4052,145926,4052,145926,0,0.16652749996865168,4000,4000,4052,0.2
1,8000,False,2,0293d_00000,2025-06-02_00-33-28,1748813608,4.2703893184661865,8.736231088638306,63004,Cerebro,127.0.0.1,8.736231088638306,2,4.4539074139972215,2.2492996067740025e-05,4.453653610051842,1.1384000890294554,3.30676521102665,0.0063811289606383065,52,100,311.99999999999875,80.0,0.07111721999885048,-728.0000000000008,80,4000,-181.80000000000015,80,8000,4,0,0,18.24,71.08,0.0,0.0,80.0,80.0,-90.90000000000008,-90.90000000000008,8000,8000,-90.90000000000008,-90.90000000000008,4000,4000,4000,4000,8000,8000,2631.21142578125,0.0,0.0006759154493920505,0.19644838571548462,0.5693190097808838,2.0,1.6074198484420776,0.006445944309234619,4052.0,0.0,4052,0.2,0.030254796147346497,8.604805946350098,0.05000000074505806,0.0005,8104,145926.0,8104,145926.0,0.0,0.16654233578865532,8000,4000,4052,0.2
1,12000,False,3,0293d_00000,2025-06-02_00-33-32,1748813612,4.749249696731567,13.485480785369873,63004,Cerebro,127.0.0.1,13.485480785369873,3,4.456762253857381,2.2384065826190637e-05,4.456507927950855,1.1395906781390193,3.308422983916453,0.0063787166711466855,48,148,291.99999999999966,80.0,0.06405436500150245,-728.0000000000008,80,4000,-152.6000000000001,80,12000,4,0,0,26.416666666666668,70.89999999999999,0.0,0.0,80.0,80.0,-76.30000000000005,-76.30000000000005,12000,12000,-76.30000000000005,-76.30000000000005,4000,4000,4000,4000,12000,12000,2190.29296875,0.0,0.0009768297895789146,0.17778350412845612,0.4638105034828186,3.0,1.6053895950317383,-0.0169447660446167,4052.0,0.0,4052,0.2,0.012066459283232689,7.727730751037598,0.02500000037252903,0.0005,12156,145926.0,12156,145926.0,0.0,0.16655789577226165,12000,4000,4052,0.2
1,16000,False,4,0293d_00000,2025-06-02_00-33-36,1748813616,4.046465873718262,17.531946659088135,63004,Cerebro,127.0.0.1,17.531946659088135,4,4.452568804319261,2.2285224955587182e-05,4.452314354671284,1.136106477357497,3.30771482507776,0.006375384504346817,52,200,271.99999999999994,80.0,0.06461930500052404,-708.0000000000009,80,4000,-146.40000000000012,80,16000,4,0,0,17.56,70.72,0.0,0.0,80.0,80.0,-73.20000000000006,-73.20000000000006,16000,16000,-73.20000000000006,-73.20000000000006,4000,4000,4000,4000,16000,16000,1716.7784423828125,0.0,0.00045856041833758354,0.22361895442008972,0.5737333297729492,4.0,1.604589581489563,-0.01646256446838379,4052.0,0.0,4052,0.2,0.058762796223163605,8.358769416809082,0.012500000186264515,0.0005,16208,145926.0,16208,145926.0,0.0,0.16657279264261723,16000,4000,4052,0.2
1,20000,False,5,0293d_00000,2025-06-02_00-33-41,1748813621,4.636167287826538,22.168113946914673,63004,Cerebro,127.0.0.1,22.168113946914673,5,4.4543293182764065,2.219237253176223e-05,4.454074799124795,1.1334548875838453,3.31212190682681,0.00638014565946972,48,248,291.99999999999926,80.0,0.06167494900000747,-708.0000000000009,80,4000,-117.40000000000008,80,20000,4,0,0,28.233333333333334,70.89999999999999,0.0,0.0,80.0,80.0,-58.70000000000004,-58.70000000000004,20000,20000,-58.70000000000004,-58.70000000000004,4000,4000,4000,4000,20000,20000,473.69268798828125,0.0,0.0006088631344027817,0.20125946402549744,0.41720956563949585,5.0,1.6035382747650146,-0.028716444969177246,4052.0,0.0,4052,0.2,0.029445143416523933,7.084644794464111,0.0062500000931322575,0.0005,20260,145926.0,20260,145926.0,0.0,0.16660444210599,20000,4000,4052,0.2
1,24000,False,6,0293d_00000,2025-06-02_00-33-45,1748813625,4.354698657989502,26.522812604904175,63004,Cerebro,127.0.0.1,26.522812604904175,6,4.453195278093924,2.2088448540801607e-05,4.4529400161332395,1.1314041667081955,3.3130153457586293,0.0063939062026626,52,300,391.99999999999886,80.0,0.0666413550003199,-548.0000000000005,80,4000,-115.40000000000003,80,24000,4,0,0,21.38,71.0,0.0,0.0,80.0,80.0,-57.70000000000002,-57.70000000000002,24000,24000,-57.70000000000002,-57.70000000000002,4000,4000,4000,4000,24000,24000,2819.23388671875,0.0,0.0009169346303679049,0.6523209810256958,0.6211763620376587,6.0,1.601180911064148,-0.07869601249694824,4052.0,0.0,4052,0.2,0.13463746011257172,8.067693710327148,0.0031250000465661287,0.0005,24312,145926.0,24312,145926.0,0.0,0.16663460979083125,24000,4000,4052,0.2
1,28000,False,7,0293d_00000,2025-06-02_00-33-50,1748813630,4.729182720184326,31.2519953250885,63004,Cerebro,127.0.0.1,31.2519953250885,7,4.455870995313482,2.2010564562189534e-05,4.455614915971774,1.1295542500410538,3.3175414013013125,0.006389347140511065,48,348,391.99999999999886,80.0,0.06893229299981612,-1167.9999999999977,80,4000,-141.40000000000003,80,28000,4,0,0,29.166666666666668,71.41666666666667,0.0,0.0,80.0,80.0,-70.70000000000002,-70.70000000000002,28000,28000,-70.70000000000002,-70.70000000000002,4000,4000,4000,4000,28000,28000,2007.68408203125,0.0,0.0005155524704605341,0.38108330965042114,0.5324331521987915,7.0,1.6008821725845337,-0.04662430286407471,4052.0,0.0,4052,0.2,0.06308592855930328,7.89522123336792,0.0015625000232830644,0.0005,28364,145926.0,28364,145926.0,0.0,0.16668576270776422,28000,4000,4052,0.2
1,32000,False,8,0293d_00000,2025-06-02_00-33-54,1748813634,4.053271055221558,35.30526638031006,63004,Cerebro,127.0.0.1,35.30526638031006,8,4.451711740360644,2.1912458681382613e-05,4.451455455812247,1.1262721725406104,3.3166598412884625,0.006388071669189557,52,400,431.99999999999864,80.0,0.0643922250031028,-1167.9999999999977,80,4000,-103.80000000000004,80,32000,4,0,0,23.779999999999998,71.4,0.0,0.0,80.0,80.0,-51.90000000000002,-51.90000000000002,32000,32000,-51.90000000000002,-51.90000000000002,4000,4000,4000,4000,32000,32000,883.4486083984375,0.0,0.0009363507269881666,0.2360418140888214,0.4014788568019867,8.0,1.6025868654251099,-0.03888523578643799,4052.0,0.0,4052,0.2,-0.08342830091714859,8.054230690002441,0.0007812500116415322,0.0005,32416,145926.0,32416,145926.0,0.0,0.16673562635538075,32000,4000,4052,0.2
1,36000,False,9,0293d_00000,2025-06-02_00-33-59,1748813639,4.44656777381897,39.75183415412903,63004,Cerebro,127.0.0.1,39.75183415412903,9,4.451566755956744,2.1835334011673626e-05,4.451310227253994,1.123608406815264,3.3191763518750883,0.006386986952190414,48,448,431.99999999999864,80.0,0.060771464003482836,-728.0000000000009,80,4000,-115.00000000000017,80,36000,4,0,0,21.866666666666664,71.3,0.0,0.0,80.0,80.0,-57.500000000000085,-57.500000000000085,36000,36000,-57.500000000000085,-57.500000000000085,4000,4000,4000,4000,36000,36000,2703.043212890625,0.0,0.0010179077507928014,0.4574209749698639,0.5363107919692993,9.0,1.598259687423706,0.04438382387161255,4052.0,0.0,4052,0.2,0.0160866379737854,8.398754119873047,0.0003906250058207661,0.0005,36468,145926.0,36468,145926.0,0.0,0.16678470765377604,36000,4000,4052,0.2
1,40000,False,10,0293d_00000,2025-06-02_00-34-03,1748813643,4.165566921234131,43.91740107536316,63004,Cerebro,127.0.0.1,43.91740107536316,10,4.448608547396627,2.1734980405913885e-05,4.448351985981494,1.1215567767473171,3.318272879356051,0.00638187608305369,52,500,351.999999999999,80.0,0.06439363199926447,-728.0000000000009,80,4000,-113.80000000000017,80,40000,4,0,0,24.86,71.32000000000001,0.0,0.0,80.0,80.0,-56.900000000000084,-56.900000000000084,40000,40000,-56.900000000000084,-56.900000000000084,4000,4000,4000,4000,40000,40000,583.2615356445312,0.0,0.000830928620416671,0.4936879277229309,0.42820271849632263,10.0,1.600005030632019,0.03457057476043701,4052.0,0.0,4052,0.2,0.0053892964497208595,7.428140163421631,0.00019531250291038305,0.0005,40520,145926.0,40520,145926.0,0.0,0.1668324512635673,40000,4000,4052,0.2
