num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_return_max,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/num_episodes_lifetime,env_runners/episode_return_mean,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/num_episodes,env_runners/episode_len_max,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,learners/ai/num_module_steps_trained,learners/ai/entropy,learners/ai/vf_explained_var,learners/ai/module_train_batch_size_mean,learners/ai/num_module_steps_trained_lifetime,learners/ai/default_optimizer_learning_rate,learners/ai/total_loss,learners/ai/policy_loss,learners/ai/curr_entropy_coeff,learners/ai/curr_kl_coeff,learners/ai/num_trainable_parameters,learners/ai/vf_loss,learners/ai/vf_loss_unclipped,learners/ai/mean_kl_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/weights_seq_no,learners/ai/num_non_trainable_parameters,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,b9891_00000,2025-06-01_15-27-20,1748780840,5.556104898452759,5.556104898452759,11572,Cerebro,127.0.0.1,5.556104898452759,1,5.549782699963544,1.8200022168457508e-05,5.549585099972319,1.8678510999889113,3.6759175999904983,0.00424769998062402,-80.0,80.0,80,0.07124844600097276,4000,50,-157.2,4000,-160.0,50,80,2,0,0,20.5,64.325,80.0,80.0,4000,4000,-78.6,-78.6,4000,4000,4000,4000,4000,4000,-78.6,-78.6,4050,1.6078931093215942,0.03636354207992554,4050,4050,0.001,0.6217958927154541,0.09481605142354965,0.1,0.10000000149011612,152070,6.875981330871582,107.04497528076172,0.0008544705342501402,0.8199102878570557,1.0,0,0.0,152070,0.17067419999511912,4000,0,4000,4050,4050,0.1
1,8000,False,2,b9891_00000,2025-06-01_15-27-25,1748780845,5.100249290466309,10.656354188919067,11572,Cerebro,127.0.0.1,10.656354188919067,2,5.545227103964425,1.818302145693451e-05,5.545028770972276,1.8640862719889266,3.6751261889905438,0.004244221980916336,-80.0,80.0,80,0.06374715200043284,8000,100,-159.6,4000,-260.0,50,80,2,0,0,17.928571428571427,64.38571428571429,80.0,80.0,8000,8000,-79.8,-79.8,4000,4000,8000,8000,4000,4000,-79.8,-79.8,4050,1.6074010133743286,0.10089164972305298,4050.0,8100,0.001,0.41362297534942627,-0.09076756238937378,0.1,0.05000000074505806,152070.0,6.650810241699219,309.8006896972656,0.0004962431848980486,0.36058342456817627,2.0,0.0,0.0,152070.0,0.17069369098512108,4000,0.0,8000,4050,8100,0.1
1,12000,False,3,b9891_00000,2025-06-01_15-27-30,1748780850,5.358486175537109,16.014840364456177,11572,Cerebro,127.0.0.1,16.014840364456177,3,5.543286285925028,1.8138191121397542e-05,5.543086714262713,1.8608395532690571,3.6764285571002695,0.004240935761237051,-160.0,80.0,80,0.057185131002333946,12000,150,-162.0,4000,-260.0,50,80,2,0,0,20.1625,64.4,80.0,80.0,12000,12000,-81.0,-81.0,4000,4000,12000,12000,4000,4000,-81.0,-81.0,4050,1.6068272590637207,0.08203673362731934,4050.0,12150,0.001,0.690185546875,0.0551053024828434,0.1,0.02500000037252903,152070.0,7.9574995040893555,379.63836669921875,0.0002602555905468762,0.22228114306926727,3.0,0.0,0.0,152070.0,0.17071294184532193,4000,0.0,12000,4050,12150,0.1
1,16000,False,4,b9891_00000,2025-06-01_15-27-35,1748780855,5.233369588851929,21.248209953308105,11572,Cerebro,127.0.0.1,21.248209953308105,4,5.5401267090659045,1.8076808959769554e-05,5.53992660911962,1.8591161647363128,3.6749867335294524,0.004240305403354694,-160.0,80.0,80,0.061003277000272645,16000,200,-161.0,4000,-260.0,50,80,2,0,0,20.885714285714283,64.32857142857144,80.0,80.0,16000,16000,-80.5,-80.5,4000,4000,16000,16000,4000,4000,-80.5,-80.5,4050,1.6076444387435913,0.22774338722229004,4050.0,16200,0.001,0.6915349960327148,0.1452527791261673,0.1,0.012500000186264515,152070.0,7.070381164550781,366.9579772949219,0.00034680587123148143,0.5288646221160889,4.0,0.0,0.0,152070.0,0.17073134302921802,4000,0.0,16000,4050,16200,0.1
1,20000,False,5,b9891_00000,2025-06-01_15-27-41,1748780861,5.391976833343506,26.64018678665161,11572,Cerebro,127.0.0.1,26.64018678665161,5,5.538583478974837,1.8014041186605468e-05,5.5383829010283465,1.8571990270888987,3.6753597501939943,0.004235556349073513,-120.0,80.0,80,0.060571750997332856,20000,250,-159.4,4000,-160.0,50,80,2,0,0,18.025,64.32499999999999,80.0,80.0,20000,20000,-79.7,-79.7,4000,4000,20000,20000,4000,4000,-79.7,-79.7,4050,1.6070926189422607,0.09975570440292358,4050.0,20250,0.001,0.6169387102127075,0.10336840897798538,0.1,0.0062500000931322575,152070.0,6.74273157119751,536.2933959960938,0.000518131535500288,0.18640241026878357,5.0,0.0,0.0,152070.0,0.17075109134525562,4000,0.0,20000,4050,20250,0.1
1,24000,False,6,b9891_00000,2025-06-01_15-27-46,1748780866,5.237703084945679,31.87788987159729,11572,Cerebro,127.0.0.1,31.87788987159729,6,5.535510114184976,1.7952901098787513e-05,5.535308863017924,1.8552904068177425,3.6741905156922887,0.004233079785397169,-120.0,80.0,80,0.059911177001195026,24000,300,-159.4,4000,-160.0,50,80,2,0,0,19.5,64.27142857142857,80.0,80.0,24000,24000,-79.7,-79.7,4000,4000,24000,24000,4000,4000,-79.7,-79.7,4050,1.6068814992904663,0.09539645910263062,4050.0,24300,0.001,0.4649060368537903,-0.2755512595176697,0.1,0.0031250000465661287,152070.0,9.011418342590332,850.1648559570312,0.000576749152969569,0.7350762486457825,6.0,0.0,0.0,152070.0,0.17077106888066912,4000,0.0,24000,4050,24300,0.1
1,28000,False,7,b9891_00000,2025-06-01_15-27-51,1748780871,5.288507461547852,37.16639733314514,11572,Cerebro,127.0.0.1,37.16639733314514,7,5.53296136404287,1.789437242707673e-05,5.532759364387421,1.8519719987499044,3.674950238535539,0.004233334987597341,-160.0,80.0,80,0.06011705000302754,28000,350,-161.0,4000,-260.0,50,80,2,0,0,20.128571428571426,64.3,80.0,80.0,28000,28000,-80.5,-80.5,4000,4000,28000,28000,4000,4000,-80.5,-80.5,4050,1.6076784133911133,0.06608587503433228,4050.0,28350,0.001,0.8462684750556946,0.20841588079929352,0.1,0.0015625000232830644,152070.0,7.986198425292969,562.6736450195312,0.00016372451500501484,0.6335245966911316,7.0,0.0,0.0,152070.0,0.17079102485624245,4000,0.0,28000,4050,28350,0.1
1,32000,False,8,b9891_00000,2025-06-01_15-27-57,1748780877,5.754295349121094,42.920692682266235,11572,Cerebro,127.0.0.1,42.920692682266235,8,5.535098661402524,1.7829428406704986e-05,5.534895780743077,1.852843379762188,3.676206169150109,0.004234403637586095,-140.0,80.0,80,0.061485043001011944,32000,400,-161.8,4000,-260.0,50,80,2,0,0,22.675,64.325,80.0,80.0,32000,32000,-80.9,-80.9,4000,4000,32000,32000,4000,4000,-80.9,-80.9,4050,1.6052207946777344,0.05065566301345825,4050.0,32400,0.001,0.8833523988723755,0.30706891417503357,0.1,0.0007812500116415322,152070.0,7.368045806884766,474.92657470703125,0.0005268345703370869,0.3844066560268402,8.0,0.0,0.0,152070.0,0.1708126598454111,4000,0.0,32000,4050,32400,0.1
1,36000,False,9,b9891_00000,2025-06-01_15-28-03,1748780883,5.483247995376587,48.40394067764282,11572,Cerebro,127.0.0.1,48.40394067764282,9,5.534515682788601,1.7766133834151456e-05,5.534311993935099,1.8511118269646116,3.6773467914584628,0.004234730601329533,-140.0,80.0,80,0.06446538000076543,36000,450,-160.8,4000,-260.0,50,80,2,0,0,21.5125,64.375,80.0,80.0,36000,36000,-80.4,-80.4,4000,4000,36000,36000,4000,4000,-80.4,-80.4,4050,1.6057939529418945,0.22975826263427734,4050.0,36450,0.001,0.7202258110046387,0.1211184710264206,0.1,0.0003906250058207661,152070.0,7.596860408782959,493.5195617675781,0.0007357638096436858,0.42174988985061646,9.0,0.0,0.0,152070.0,0.1708340132823103,4000,0.0,36000,4050,36450,0.1
1,40000,False,10,b9891_00000,2025-06-01_15-28-08,1748780888,5.361724853515625,53.76566553115845,11572,Cerebro,127.0.0.1,53.76566553115845,10,5.532701220960796,1.7700472766556592e-05,5.532496843996034,1.8493454786951884,3.677289722544021,0.0042343322951765615,-160.0,80.0,80,0.06350301099882927,40000,500,-160.0,4000,-160.0,50,80,2,0,0,21.5625,64.32499999999999,80.0,80.0,40000,40000,-80.0,-80.0,4000,4000,40000,40000,4000,4000,-80.0,-80.0,4050,1.6053316593170166,0.07867652177810669,4050.0,40500,0.001,0.7338725328445435,0.11361101269721985,0.1,0.00019531250291038305,152070.0,7.807945251464844,488.37274169921875,0.00032672198722139,0.6707655191421509,10.0,0.0,0.0,152070.0,0.17085976793448812,4000,0.0,40000,4050,40500,0.1
1,44000,False,11,b9891_00000,2025-06-01_15-28-14,1748780894,5.839412689208984,59.60507822036743,11572,Cerebro,127.0.0.1,59.60507822036743,11,5.535688945751225,1.7630468271565206e-05,5.535483531555933,1.8490508689082428,3.6805648843189815,0.004232675971788855,-140.0,80.0,80,0.06310389199818019,44000,550,-159.8,4000,-160.0,50,80,2,0,0,22.75,64.3125,80.0,80.0,44000,44000,-79.9,-79.9,4000,4000,44000,44000,4000,4000,-79.9,-79.9,4050,1.6037721633911133,0.14849060773849487,4050.0,44550,0.001,0.5637515783309937,-0.15078483521938324,0.1,9.765625145519152e-05,152070.0,8.74913501739502,697.6732177734375,0.0007866299711167812,0.375012069940567,11.0,0.0,0.0,152070.0,0.17088564448229476,4000,0.0,44000,4050,44550,0.1
1,48000,False,12,b9891_00000,2025-06-01_15-28-19,1748780899,5.331459283828735,64.93653750419617,11572,Cerebro,127.0.0.1,64.93653750419617,12,5.533567286293704,1.7590163460267436e-05,5.5333609122401155,1.8481812682189682,3.6793016644756977,0.004234966212456154,-140.0,80.0,80,0.06470382100145798,48000,600,-161.8,4000,-260.0,50,80,2,0,0,23.485714285714288,64.3,80.0,80.0,48000,48000,-80.9,-80.9,4000,4000,48000,48000,4000,4000,-80.9,-80.9,4050,1.6024125814437866,0.06912463903427124,4050.0,48600,0.001,0.660551130771637,0.07091893255710602,0.1,4.882812572759576e-05,152070.0,7.498734474182129,455.32586669921875,0.0013079512864351273,1.057505488395691,12.0,0.0,0.0,152070.0,0.17091087487235723,4000,0.0,48000,4050,48600,0.1
1,52000,False,13,b9891_00000,2025-06-01_15-28-25,1748780905,5.734777450561523,70.67131495475769,11572,Cerebro,127.0.0.1,70.67131495475769,13,5.535517686431054,1.753726159809423e-05,5.535310559118088,1.8472833915367886,3.682144323830975,0.00423242655020266,-120.0,80.0,80,0.06302214999916032,52000,650,-162.6,4000,-260.0,50,80,2,0,0,20.4375,64.35,80.0,80.0,52000,52000,-81.3,-81.3,4000,4000,52000,52000,4000,4000,-81.3,-81.3,4050,1.6012483835220337,0.17137759923934937,4050.0,52650,0.001,0.41673946380615234,-0.2398160994052887,0.1,2.441406286379788e-05,152070.0,8.166804313659668,770.6728515625,0.0004794455016963184,0.25928962230682373,13.0,0.0,0.0,152070.0,0.17093573562016517,4000,0.0,52000,4050,52650,0.1
1,56000,False,14,b9891_00000,2025-06-01_15-28-31,1748780911,5.824211597442627,76.49552655220032,11572,Cerebro,127.0.0.1,76.49552655220032,14,5.538327596566395,1.7479888716470285e-05,5.538119695527014,1.8474775396214158,3.6847510375928856,0.004229348284933741,-120.0,80.0,80,0.06515403099707327,56000,700,-161.6,4000,-260.0,50,80,2,0,0,27.275,64.7375,80.0,80.0,56000,56000,-80.8,-80.8,4000,4000,56000,56000,4000,4000,-80.8,-80.8,4050,1.5988256931304932,0.13587737083435059,4050.0,56700,0.001,0.5293871164321899,-0.15530836582183838,0.1,1.220703143189894e-05,152070.0,8.445779800415039,788.2173461914062,0.0007288605556823313,0.15338978171348572,14.0,0.0,0.0,152070.0,0.17096146229553022,4000,0.0,56000,4050,56700,0.1
1,60000,False,15,b9891_00000,2025-06-01_15-28-37,1748780917,5.966789960861206,82.46231651306152,11572,Cerebro,127.0.0.1,82.46231651306152,15,5.542547894600798,1.743708967026549e-05,5.542338964572009,1.8457988812246684,3.690638745216973,0.004232260801715838,-100.0,80.0,80,0.06726904800161719,60000,750,-161.2,4000,-260.0,50,80,2,0,0,24.049999999999997,64.55,80.0,80.0,60000,60000,-80.6,-80.6,4000,4000,60000,60000,4000,4000,-80.6,-80.6,4050,1.601406455039978,0.14693981409072876,4050.0,60750,0.001,0.6120878458023071,2.1457672119140625e-06,0.1,6.10351571594947e-06,152070.0,7.722262859344482,585.0292358398438,0.00035163408028893173,0.18052168190479279,15.0,0.0,0.0,152070.0,0.17100664552382308,4000,0.0,60000,4050,60750,0.1
