num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes_lifetime,env_runners/num_episodes,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/num_env_steps_sampled,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_duration_sec_mean,env_runners/episode_len_mean,env_runners/episode_len_max,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,learners/human/curr_entropy_coeff,learners/ai/num_module_steps_trained,learners/ai/weights_seq_no,learners/ai/default_optimizer_learning_rate,learners/ai/policy_loss,learners/ai/num_module_steps_trained_lifetime,learners/ai/vf_loss_unclipped,learners/ai/mean_kl_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/module_train_batch_size_mean,learners/ai/vf_explained_var,learners/ai/total_loss,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/vf_loss,learners/ai/num_non_trainable_parameters,learners/ai/num_trainable_parameters,learners/ai/curr_kl_coeff,learners/ai/entropy,learners/ai/curr_entropy_coeff,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained
1,4000,False,1,468d4_00000,2025-06-02_01-11-05,1748815865,4.701936960220337,4.701936960220337,47404,Cerebro,127.0.0.1,4.701936960220337,1,4.6943406000500545,1.8899969290941954e-05,4.694157899997663,1.1682319000246935,3.517557699989993,0.006658600002992898,48,48,-1367.999999999999,-372.58333333333377,4000,80,291.99999999999875,4000,0.08874573541712986,80.0,80,4,0,0,17.733333333333334,71.14999999999999,0.0,0.0,4000,4000,80.0,80.0,4000,4000,-186.29166666666688,-186.29166666666688,4000,4000,-186.29166666666688,-186.29166666666688,4000,4000,0.2,4052,1.0,0.0005,0.203948512673378,4052,12527.5009765625,0.0007217608508653939,0.20506198704242706,4052,0.0034223198890686035,0.8534266948699951,0.0,9.709274291992188,0,145926,0.10000000149011612,1.6079673767089844,0.2,145926,0,4052,4000,4052,0.3534147000173107,4000
1,8000,False,2,468d4_00000,2025-06-02_01-11-09,1748815869,4.272997140884399,8.974934101104736,47404,Cerebro,127.0.0.1,8.974934101104736,2,4.69001783804968,1.8887969781644644e-05,4.689833683997277,1.1647905920242192,3.5166604389902205,0.006666012002970092,100,52,-1367.999999999999,-355.20000000000044,4000,80,391.9999999999993,8000,0.07444432000105734,80.0,80,4,0,0,22.380000000000003,71.2,0.0,0.0,8000,8000,80.0,80.0,4000,4000,-177.60000000000022,-177.60000000000022,4000,4000,-177.60000000000022,-177.60000000000022,8000,8000,0.2,4052,2.0,0.0005,-0.09513476490974426,8104,6046.833984375,0.000639402016531676,0.11279066652059555,4052.0,-0.006402015686035156,0.45758819580078125,0.0,8.742149353027344,0.0,145926.0,0.05000000074505806,1.6077793836593628,0.2,145926.0,0.0,4052,8000,8104,0.3533956698273076,4000
1,12000,False,3,468d4_00000,2025-06-02_01-11-14,1748815874,4.605744123458862,13.580678224563599,47404,Cerebro,127.0.0.1,13.580678224563599,3,4.689076091669663,1.8848090054234492e-05,4.68889080815728,1.1623108071037975,3.5181991006000897,0.006660192882880801,148,48,-1168.0000000000002,-312.60000000000036,4000,80,391.9999999999993,12000,0.06443912600167095,80.0,80,4,0,0,26.666666666666668,71.23333333333333,0.0,0.0,12000,12000,80.0,80.0,4000,4000,-156.30000000000018,-156.30000000000018,4000,4000,-156.30000000000018,-156.30000000000018,12000,12000,0.2,4052,3.0,0.0005,0.0065897684544324875,12156,4330.62353515625,0.0005515302764251828,0.1591380387544632,4052.0,0.0016487836837768555,0.640863835811615,0.0,9.557450294494629,0.0,145926.0,0.02500000037252903,1.6074926853179932,0.2,145926.0,0.0,4052,12000,12156,0.353374300951103,4000
1,16000,False,4,468d4_00000,2025-06-02_01-11-18,1748815878,4.116625547409058,17.697303771972656,47404,Cerebro,127.0.0.1,17.697303771972656,4,4.683257651752776,1.879560902511003e-05,4.683071113075718,1.159106140032572,3.515586708593778,0.006652419954388111,200,52,-1088.0,-321.4000000000004,4000,80,311.9999999999991,16000,0.06497626700263937,80.0,80,4,0,0,22.28,70.92,0.0,0.0,16000,16000,80.0,80.0,4000,4000,-160.7000000000002,-160.7000000000002,4000,4000,-160.7000000000002,-160.7000000000002,16000,16000,0.2,4052,4.0,0.0005,0.19133001565933228,16208,11665.3486328125,0.0006783722783438861,0.16601285338401794,4052.0,0.0021738409996032715,0.8061292171478271,0.0,9.361127853393555,0.0,145926.0,0.012500000186264515,1.6066529750823975,0.2,145926.0,0.0,4052,16000,16208,0.3533337081554384,4000
1,20000,False,5,468d4_00000,2025-06-02_01-11-23,1748815883,4.576972723007202,22.27427649497986,47404,Cerebro,127.0.0.1,22.27427649497986,5,4.68207789023517,1.8736652752975354e-05,4.681890178945032,1.1567496466322025,3.516733997507471,0.006672297755005117,248,48,-1108.0000000000007,-375.6000000000004,4000,80,332.0000000000001,20000,0.06503802300139797,80.0,80,4,0,0,23.466666666666665,70.85000000000001,0.0,0.0,20000,20000,80.0,80.0,4000,4000,-187.8000000000002,-187.8000000000002,4000,4000,-187.8000000000002,-187.8000000000002,20000,20000,0.2,4052,5.0,0.0005,-0.06373738497495651,20260,9607.861328125,0.0004451045533642173,0.2052573710680008,4052.0,0.002301514148712158,0.5309192538261414,0.0,9.159623146057129,0.0,145926.0,0.0062500000931322575,1.6065566539764404,0.2,145926.0,0.0,4052,20000,20260,0.3532749961555929,4000
1,24000,False,6,468d4_00000,2025-06-02_01-11-27,1748815887,4.407374620437622,26.68165111541748,47404,Cerebro,127.0.0.1,26.68165111541748,6,4.679235228332897,1.8680286058791015e-05,4.679046372155933,1.1546201191657264,3.5160130215327197,0.006672292777325955,300,52,-1108.0000000000007,-380.20000000000044,4000,80,391.9999999999998,24000,0.0684677009988809,80.0,80,4,0,0,23.720000000000002,70.82000000000001,0.0,0.0,24000,24000,80.0,80.0,4000,4000,-190.10000000000022,-190.10000000000022,4000,4000,-190.10000000000022,-190.10000000000022,24000,24000,0.2,4052,6.0,0.0005,-0.040935032069683075,24312,7872.2216796875,0.0005893160705454648,0.27703940868377686,4052.0,0.005661368370056152,0.5618409514427185,0.0,9.240974426269531,0.0,145926.0,0.0031250000465661287,1.6066256761550903,0.2,145926.0,0.0,4052,24000,24312,0.35321411717492784,4000
1,28000,False,7,468d4_00000,2025-06-02_01-11-32,1748815892,4.989124536514282,31.670775651931763,47404,Cerebro,127.0.0.1,31.670775651931763,7,4.682248749049864,1.8617482978247065e-05,4.682059002434464,1.1538092299741027,3.519833987317454,0.006669590849842054,348,48,-1068.000000000001,-344.2000000000004,4000,80,391.9999999999998,28000,0.07398418499913532,80.0,80,4,0,0,38.38333333333333,71.43333333333334,0.0,0.0,28000,28000,80.0,80.0,4000,4000,-172.1000000000002,-172.1000000000002,4000,4000,-172.1000000000002,-172.1000000000002,28000,28000,0.2,4052,7.0,0.0005,-0.07238558679819107,28364,5836.3642578125,0.000487642886582762,0.16890691220760345,4052.0,0.002299189567565918,0.4977799355983734,0.0,8.913599014282227,0.0,145926.0,0.0015625000232830644,1.6059792041778564,0.2,145926.0,0.0,4052,28000,28364,0.3531396698242585,4000
1,32000,False,8,468d4_00000,2025-06-02_01-11-36,1748815896,4.178475618362427,35.84925127029419,47404,Cerebro,127.0.0.1,35.84925127029419,8,4.677076684559467,1.855430792089406e-05,4.676885712410305,1.150834020673902,3.517614969443871,0.0066786419412807425,400,52,-1268.0,-297.8000000000004,4000,80,331.9999999999996,32000,0.07154843600117601,80.0,80,4,0,0,19.6,71.42,0.0,0.0,32000,32000,80.0,80.0,4000,4000,-148.9000000000002,-148.9000000000002,4000,4000,-148.9000000000002,-148.9000000000002,32000,32000,0.2,4052,8.0,0.0005,0.06441723555326462,32416,6310.27783203125,0.0005326757673174143,0.23201751708984375,4052.0,-0.0174715518951416,0.5990802049636841,0.0,8.55715560913086,0.0,145926.0,0.0007812500116415322,1.60526704788208,0.2,145926.0,0.0,4052,32000,32416,0.35304739409888447,4000
1,36000,False,9,468d4_00000,2025-06-02_01-11-42,1748815902,5.2326500415802,41.08190131187439,47404,Cerebro,127.0.0.1,41.08190131187439,9,4.682533367713646,1.8509765333252073e-05,4.682341315285909,1.1501473234673987,3.5237468847491895,0.006677733521745492,448,48,-1268.0,-285.72200000000043,4000,67,1199.7999999999995,36000,0.07160334900079761,79.87,80,4,0,0,32.885714285714286,71.34285714285714,0.0,0.0,36000,36000,79.87,79.87,4000,4000,-142.86100000000022,-142.86100000000022,4000,4000,-142.86100000000022,-142.86100000000022,36000,36000,0.2,4052,9.0,0.0005,0.06150033697485924,36468,6578.29345703125,0.0007506876136176288,0.21193742752075195,4052.0,-0.005834221839904785,0.6998125910758972,0.0,9.593232154846191,0.0,145926.0,0.0003906250058207661,1.605058193206787,0.2,145926.0,0.0,4052,36000,36468,0.35295692359103326,4000
1,40000,False,10,468d4_00000,2025-06-02_01-11-46,1748815906,4.467228651046753,45.54912996292114,47404,Cerebro,127.0.0.1,45.54912996292114,10,4.68028719703638,1.8451667482806992e-05,4.680094388132909,1.1480326092326236,3.5236002129015636,0.00668354418685818,500,52,-1087.9999999999995,-314.9220000000005,4000,67,1199.7999999999995,40000,0.074845143998391,79.87,80,4,0,0,26.133333333333336,71.41666666666667,0.0,0.0,40000,40000,79.87,79.87,4000,4000,-157.46100000000024,-157.46100000000024,4000,4000,-157.46100000000024,-157.46100000000024,40000,40000,0.2,4053,10.0,0.0005,-0.28621989488601685,40521,4595.55517578125,0.0006191924912855029,0.2229146510362625,4052.0001,-0.007041573524475098,0.3039917051792145,0.0,9.111054420471191,0.0,145926.0,0.00019531250291038305,1.604470133781433,0.2,145926.0,0.0,4053,40000,40521,0.35285155337392937,4000
