num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_return_mean,env_runners/episode_len_mean,env_runners/num_episodes,env_runners/episode_len_max,env_runners/num_env_steps_sampled,env_runners/episode_duration_sec_mean,env_runners/episode_len_min,env_runners/num_episodes_lifetime,env_runners/episode_return_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_max,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,learners/ai/module_train_batch_size_mean,learners/ai/vf_loss_unclipped,learners/ai/vf_explained_var,learners/ai/default_optimizer_learning_rate,learners/ai/gradients_default_optimizer_global_norm,learners/ai/policy_loss,learners/ai/num_module_steps_trained_lifetime,learners/ai/curr_kl_coeff,learners/ai/num_non_trainable_parameters,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/num_trainable_parameters,learners/ai/entropy,learners/ai/weights_seq_no,learners/ai/vf_loss,learners/ai/num_module_steps_trained,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/mean_kl_loss,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_timer,learners/human/curr_entropy_coeff
1,4000,False,1,44355_00000,2025-06-01_21-36-16,1748802976,4.290866374969482,4.290866374969482,62624,Cerebro,127.0.0.1,4.290866374969482,1,4.282237100007478,1.8599967006593943e-05,4.282046400010586,1.0634656000183895,3.210323999985121,0.006511899991892278,-307.166666666667,80.0,48,80,4000,0.0808692791700499,80,48,-848.0000000000013,4000,-47.99999999999987,4,0,0,16.5,70.55999999999999,0.0,0.0,4000,4000,4000,4000,80.0,80.0,-153.5833333333335,-153.5833333333335,4000,4000,4000,4000,-153.5833333333335,-153.5833333333335,4052,2932.8701171875,0.005326986312866211,0.0005,0.08206865191459656,-0.13195481896400452,4052,0.10000000149011612,0,0.2,0.42643940448760986,145926,1.6033788919448853,1.0,8.7886323928833,4052,0.0,0.0010338936699554324,4000,4052,0,145926,4000,4052,0.1687771999859251,0.2
1,8000,False,2,44355_00000,2025-06-01_21-36-20,1748802980,4.453008413314819,8.743874788284302,62624,Cerebro,127.0.0.1,8.743874788284302,2,4.283834660007269,1.8590967520140112e-05,4.283643107010285,1.0606460010184673,3.2147407109849153,0.006507478991989046,-250.60000000000022,80.0,52,80,4000,0.06899939399911091,80,100,-848.0000000000013,8000,311.99999999999955,4,0,0,22.549999999999997,70.61666666666666,0.0,0.0,8000,8000,4000,4000,80.0,80.0,-125.30000000000011,-125.30000000000011,4000,4000,8000,8000,-125.30000000000011,-125.30000000000011,4052.0,2709.895263671875,0.0022611021995544434,0.0005,0.19168852269649506,0.08524203300476074,8104,0.05000000074505806,0.0,0.2,0.6858525276184082,145926.0,1.603636384010315,2.0,9.212691307067871,4052,0.0,0.0006852822843939066,4000,8104,0.0,145926.0,8000,4052,0.16879458280592807,0.2
1,12000,False,3,44355_00000,2025-06-01_21-36-24,1748802984,4.1603546142578125,12.904229402542114,62624,Cerebro,127.0.0.1,12.904229402542114,3,4.282500803406694,1.8541057716356594e-05,4.282308321940725,1.0588687260082048,3.2151828638748263,0.0065044012020807705,-215.40000000000018,80.0,48,80,4000,0.061641110997879875,80,148,-688.0000000000009,12000,331.9999999999998,4,0,0,24.8,70.61999999999999,0.0,0.0,12000,12000,4000,4000,80.0,80.0,-107.70000000000009,-107.70000000000009,4000,4000,12000,12000,-107.70000000000009,-107.70000000000009,4052.0,2225.222412109375,0.009605824947357178,0.0005,0.13699769973754883,-0.2056073546409607,12156,0.02500000037252903,0.0,0.2,0.34436723589897156,145926.0,1.6035233736038208,3.0,8.706332206726074,4052,0.0,0.0009228445705957711,4000,12156,0.0,145926.0,12000,4052,0.16881120415952905,0.2
1,16000,False,4,44355_00000,2025-06-01_21-36-29,1748802989,4.2792932987213135,17.183522701263428,62624,Cerebro,127.0.0.1,17.183522701263428,4,4.28237631437269,1.846764682786307e-05,4.282183078721355,1.0563297057484278,3.2175940922361286,0.006503252189971971,-202.00000000000014,80.0,52,80,4000,0.06207156600023154,80,200,-688.0000000000009,16000,331.9999999999998,4,0,0,24.580000000000002,70.66,0.0,0.0,16000,16000,4000,4000,80.0,80.0,-101.00000000000007,-101.00000000000007,4000,4000,16000,16000,-101.00000000000007,-101.00000000000007,4052.0,1469.0609130859375,0.011510074138641357,0.0005,0.26420503854751587,0.004845585208386183,16208,0.012500000186264515,0.0,0.2,0.5830022096633911,145926.0,1.6028320789337158,4.0,8.987079620361328,4052,0.0,0.0006008436903357506,4000,16208,0.0,145926.0,16000,4052,0.16882681311777464,0.2
1,20000,False,5,44355_00000,2025-06-01_21-36-33,1748802993,4.558306932449341,21.74182963371277,62624,Cerebro,127.0.0.1,21.74182963371277,5,4.285045989228939,1.8411970177700865e-05,4.2848519819339,1.0542359396909533,3.2223265163140393,0.006502323667829458,-195.60000000000008,80.0,48,80,4000,0.06070654799987096,80,248,-888.0000000000006,20000,331.99999999999983,4,0,0,25.71666666666667,70.83333333333333,0.0,0.0,20000,20000,4000,4000,80.0,80.0,-97.80000000000004,-97.80000000000004,4000,4000,20000,20000,-97.80000000000004,-97.80000000000004,4052.0,5111.1630859375,-0.0009086132049560547,0.0005,0.21123553812503815,0.19216614961624146,20260,0.0062500000931322575,0.0,0.2,0.7743085622787476,145926.0,1.6045795679092407,5.0,9.030498504638672,4052,0.0,0.000676753232255578,4000,20260,0.0,145926.0,20000,4052,0.168859941606439,0.2
1,24000,False,6,44355_00000,2025-06-01_21-36-38,1748802998,4.3240156173706055,26.065845251083374,62624,Cerebro,127.0.0.1,26.065845251083374,6,4.285308071336667,1.8348850233124338e-05,4.285112726114647,1.052541497293992,3.2242553831512075,0.006515645431080122,-227.20000000000007,80.0,52,80,4000,0.06449950900278054,80,300,-1067.9999999999975,24000,331.99999999999983,4,0,0,23.58,71.52000000000001,0.0,0.0,24000,24000,4000,4000,80.0,80.0,-113.60000000000004,-113.60000000000004,4000,4000,24000,24000,-113.60000000000004,-113.60000000000004,4052.0,5383.56787109375,-1.4543533325195312e-05,0.0005,0.4117811918258667,0.17459487915039062,24312,0.0031250000465661287,0.0,0.2,0.7610510587692261,145926.0,1.6029152870178223,6.0,9.070353507995605,4052,0.0,0.0006207344704307616,4000,24312,0.0,145926.0,24000,4052,0.16889252776401562,0.2
1,28000,False,7,44355_00000,2025-06-01_21-36-42,1748803002,4.592578649520874,30.658423900604248,62624,Cerebro,127.0.0.1,30.658423900604248,7,4.288302707623006,1.829736215382961e-05,4.288105452853478,1.051632409321019,3.228157301320001,0.006509285976861775,-219.40000000000018,80.0,48,80,4000,0.06855057000066153,80,348,-1067.9999999999975,28000,291.9999999999991,4,0,0,27.7,71.51666666666667,0.0,0.0,28000,28000,4000,4000,80.0,80.0,-109.70000000000009,-109.70000000000009,4000,4000,28000,28000,-109.70000000000009,-109.70000000000009,4052.0,1861.0740966796875,0.0023525357246398926,0.0005,0.2022334635257721,0.02212257869541645,28364,0.0015625000232830644,0.0,0.2,0.5079838037490845,145926.0,1.6013000011444092,7.0,8.061200141906738,4052,0.0,0.00038067766581662,4000,28364,0.0,145926.0,28000,4052,0.1689421225742811,0.2
1,32000,False,8,44355_00000,2025-06-01_21-36-47,1748803007,4.313101053237915,34.97152495384216,62624,Cerebro,127.0.0.1,34.97152495384216,8,4.288432858546886,1.8232388266648312e-05,4.288234495324876,1.0497860982276004,3.230114404307187,0.006516253116895307,-200.8000000000002,80.0,52,80,4000,0.06745080999739002,80,400,-728.0000000000007,32000,291.9999999999992,4,0,0,20.839999999999996,71.17999999999999,0.0,0.0,32000,32000,4000,4000,80.0,80.0,-100.4000000000001,-100.4000000000001,4000,4000,32000,32000,-100.4000000000001,-100.4000000000001,4052.0,3063.024169921875,0.017109274864196777,0.0005,0.1829005777835846,0.0489615872502327,32416,0.0007812500116415322,0.0,0.2,0.641110360622406,145926.0,1.5997037887573242,8.0,9.120885848999023,4052,0.0,0.0006521795294247568,4000,32416,0.0,145926.0,32000,4052,0.16899058210556067,0.2
1,36000,False,9,44355_00000,2025-06-01_21-36-51,1748803011,4.423717498779297,39.39524245262146,62624,Cerebro,127.0.0.1,39.39524245262146,9,4.289684371961668,1.8197064339159135e-05,4.28948487437142,1.0481991032455482,3.2329450722642967,0.006514167585230473,-191.6000000000002,80.0,48,80,4000,0.06478129899827763,80,448,-908.0000000000007,36000,311.9999999999991,4,0,0,24.36666666666667,71.16666666666666,0.0,0.0,36000,36000,4000,4000,80.0,80.0,-95.8000000000001,-95.8000000000001,4000,4000,36000,36000,-95.8000000000001,-95.8000000000001,4052.0,2399.00439453125,0.003999531269073486,0.0005,0.10313300788402557,0.11595287173986435,36468,0.0003906250058207661,0.0,0.2,0.6540182828903198,145926.0,1.604203462600708,9.0,8.589054107666016,4052,0.0,0.0009369211038574576,4000,36468,0.0,145926.0,36000,4052,0.16903803680395552,0.2
1,40000,False,10,44355_00000,2025-06-01_21-36-55,1748803015,4.2016754150390625,43.59691786766052,62624,Cerebro,127.0.0.1,43.59691786766052,10,4.288694481242049,1.814309350626948e-05,4.288494180627935,1.0458298372127572,3.2343194385415677,0.006511460909232472,-205.20000000000016,80.0,52,80,4000,0.06272785699984525,80,500,-908.0000000000007,40000,311.9999999999998,4,0,0,23.14,71.17999999999999,0.0,0.0,40000,40000,4000,4000,80.0,80.0,-102.60000000000008,-102.60000000000008,4000,4000,40000,40000,-102.60000000000008,-102.60000000000008,4052.0,2239.71044921875,-0.0015058517456054688,0.0005,0.17927822470664978,0.05254309996962547,40520,0.00019531250291038305,0.0,0.2,0.6396420001983643,145926.0,1.6016908884048462,10.0,9.074368476867676,4052,0.0,0.0005862175603397191,4000,40520,0.0,145926.0,40000,4052,0.169084004880169,0.2
