num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_mean,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/num_episodes,env_runners/episode_duration_sec_mean,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/episode_return_mean,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,learners/ai/total_loss,learners/ai/entropy,learners/ai/default_optimizer_learning_rate,learners/ai/weights_seq_no,learners/ai/vf_loss,learners/ai/vf_explained_var,learners/ai/num_non_trainable_parameters,learners/ai/module_train_batch_size_mean,learners/ai/policy_loss,learners/ai/vf_loss_unclipped,learners/ai/num_trainable_parameters,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_module_steps_trained_lifetime,learners/ai/curr_kl_coeff,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/curr_entropy_coeff,learners/ai/num_module_steps_trained,learners/ai/mean_kl_loss,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/human/curr_entropy_coeff
1,4000,False,1,7b4c7_00000,2025-06-01_21-16-20,1748801780,4.357490062713623,4.357490062713623,60136,Cerebro,127.0.0.1,4.357490062713623,1,4.3464011999894865,1.8600025214254856e-05,4.346190099953674,1.0410617999732494,3.2956737999920733,0.007249199959915131,80.0,4000,-688.0000000000011,4000,80,332.0000000000001,48,0.07880940833759571,80,48,-152.1666666666667,4,0,0,15.680000000000001,71.55999999999999,0.0,0.0,80.0,80.0,-76.08333333333336,-76.08333333333336,4000,4000,4000,4000,-76.08333333333336,-76.08333333333336,4000,4000,4000,4000,0.4866773784160614,1.605675458908081,0.0005,1.0,7.712149620056152,0.008906006813049316,0,4052,0.036511749029159546,1913.415283203125,145926,0.3030577600002289,4052,0.10000000149011612,0.0,0.2,4052,0.0004288765776436776,4000,0,4000,0.17220450000604615,145926,4052,4052,0.2
1,8000,False,2,7b4c7_00000,2025-06-01_21-16-24,1748801784,4.712639570236206,9.070129632949829,60136,Cerebro,127.0.0.1,9.070129632949829,2,4.349936802989687,1.8591025145724416e-05,4.349724384954316,1.039077884973376,3.3011914629925743,0.007244867960689589,80.0,4000,-688.0000000000011,8000,80,332.0000000000001,52,0.06989298600528855,80,100,-115.80000000000004,4,0,0,24.485714285714288,71.61428571428573,0.0,0.0,80.0,80.0,-57.90000000000002,-57.90000000000002,8000,8000,4000,4000,-57.90000000000002,-57.90000000000002,4000,4000,8000,8000,0.4492207169532776,1.6037253141403198,0.0005,2.0,7.912139892578125,0.01566135883331299,0.0,4052.0,-0.02132127806544304,1085.21044921875,145926.0,0.8583763837814331,8104,0.05000000074505806,0.0,0.2,4052,0.0007313706446439028,4000,0.0,8000,0.1722191278660437,145926.0,8104,4052,0.2
1,12000,False,3,7b4c7_00000,2025-06-01_21-16-29,1748801789,4.4138007164001465,13.483930349349976,60136,Cerebro,127.0.0.1,13.483930349349976,3,4.350478352959599,1.8562114925589413e-05,4.350264547105197,1.0382781911240715,3.3025318993624824,0.007241130280995275,80.0,4000,-688.0000000000011,12000,80,331.99999999999955,48,0.06600881100283004,80,148,-78.6000000000001,4,0,0,26.080000000000002,71.66,0.0,0.0,80.0,80.0,-39.30000000000005,-39.30000000000005,12000,12000,4000,4000,-39.30000000000005,-39.30000000000005,4000,4000,12000,12000,0.42536503076553345,1.6035453081130981,0.0005,3.0,6.4118428230285645,0.014493703842163086,0.0,4052.0,0.10486835986375809,1272.2557373046875,145926.0,0.31319084763526917,12156,0.02500000037252903,0.0,0.2,4052,0.00043239479418843985,4000,0.0,12000,0.17223317937883992,145926.0,12156,4052,0.2
1,16000,False,4,7b4c7_00000,2025-06-01_21-16-34,1748801794,4.709561347961426,18.1934916973114,60136,Cerebro,127.0.0.1,18.1934916973114,4,4.353954535430122,1.8489494054694662e-05,4.3537400236341455,1.0368656442128459,3.3074191983686854,0.007238863977957632,80.0,4000,-688.0000000000011,16000,80,451.9999999999998,52,0.06775580500019714,80,200,-77.80000000000007,4,0,0,32.95,71.40000000000002,0.0,0.0,80.0,80.0,-38.900000000000034,-38.900000000000034,16000,16000,4000,4000,-38.900000000000034,-38.900000000000034,4000,4000,16000,16000,0.6190503835678101,1.6006336212158203,0.0005,4.0,7.872203826904297,0.055427491664886475,0.0,4052.0,0.1519404798746109,820.5916137695312,145926.0,0.29607346653938293,16208,0.012500000186264515,0.0,0.2,4052,0.0006456325063481927,4000,0.0,16000,0.17224574293859457,145926.0,16208,4052,0.2
1,20000,False,5,7b4c7_00000,2025-06-01_21-16-39,1748801799,5.0383336544036865,23.231825351715088,60136,Cerebro,127.0.0.1,23.231825351715088,5,4.360688759076017,1.8424599445810313e-05,4.360473192397499,1.0360725607711923,3.31493959138507,0.007237623338602784,80.0,4000,-468.0000000000008,20000,80,451.9999999999998,48,0.0676087479974376,80,248,-69.20000000000006,4,0,0,33.31666666666667,71.56666666666665,0.0,0.0,80.0,80.0,-34.60000000000003,-34.60000000000003,20000,20000,4000,4000,-34.60000000000003,-34.60000000000003,4000,4000,20000,20000,0.4696534276008606,1.6003851890563965,0.0005,5.0,8.415680885314941,0.04862785339355469,0.0,4052.0,-0.05184656009078026,689.1981201171875,145926.0,0.2727021872997284,20260,0.0062500000931322575,0.0,0.2,4052,0.0007132051978260279,4000,0.0,20000,0.1722730228692158,145926.0,20260,4052,0.2
1,24000,False,6,7b4c7_00000,2025-06-01_21-16-43,1748801803,4.832249402999878,28.064074754714966,60136,Cerebro,127.0.0.1,28.064074754714966,6,4.3652952114856225,1.8362353216167183e-05,4.36507878247361,1.0355433651635635,3.3200756234710185,0.00723300910547018,80.0,4000,-468.0000000000008,24000,80,331.99999999999943,52,0.071414739000611,80,300,-61.40000000000007,4,0,0,32.06666666666666,72.26666666666667,0.0,0.0,80.0,80.0,-30.700000000000035,-30.700000000000035,24000,24000,4000,4000,-30.700000000000035,-30.700000000000035,4000,4000,24000,24000,0.6329700350761414,1.596702218055725,0.0005,6.0,8.111104965209961,0.049061357975006104,0.0,4052.0,0.1411939412355423,1086.7796630859375,145926.0,1.5472126007080078,24312,0.0031250000465661287,0.0,0.2,4052,0.0009745386196300387,4000,0.0,24000,0.17230018277693207,145926.0,24312,4052,0.2
1,28000,False,7,7b4c7_00000,2025-06-01_21-16-48,1748801808,4.661641597747803,32.72571635246277,60136,Cerebro,127.0.0.1,32.72571635246277,7,4.368145079370935,1.8301730038511586e-05,4.367927489648753,1.0347842665115878,3.3236810822364142,0.0072268170145265735,80.0,4000,-448.00000000000057,28000,80,351.9999999999993,48,0.07192753100418486,80,348,-59.00000000000006,4,0,0,26.766666666666666,72.26666666666667,0.0,0.0,80.0,80.0,-29.50000000000003,-29.50000000000003,28000,28000,4000,4000,-29.50000000000003,-29.50000000000003,4000,4000,28000,28000,0.6155023574829102,1.5900332927703857,0.0005,7.0,8.488750457763672,-0.0731513500213623,0.0,4052.0,0.08463089168071747,932.2803955078125,145926.0,0.5018161535263062,28364,0.0015625000232830644,0.0,0.2,4052,0.000983143807388842,4000,0.0,28000,0.1723436657442061,145926.0,28364,4052,0.2
1,32000,False,8,7b4c7_00000,2025-06-01_21-16-53,1748801813,4.816622257232666,37.542338609695435,60136,Cerebro,127.0.0.1,37.542338609695435,8,4.3720825535770675,1.823671305456008e-05,4.371863780752724,1.0340184578460856,3.328377023414102,0.0072246138447086125,80.0,4000,-288.00000000000034,32000,80,351.9999999999993,52,0.07007610000146088,80,400,-38.80000000000004,4,0,0,31.683333333333334,72.21666666666665,0.0,0.0,80.0,80.0,-19.40000000000002,-19.40000000000002,32000,32000,4000,4000,-19.40000000000002,-19.40000000000002,4000,4000,32000,32000,0.16870449483394623,1.591583013534546,0.0005,8.0,7.838822364807129,0.04422569274902344,0.0,4052.0,-0.29686224460601807,2317.5966796875,145926.0,0.6688827276229858,32416,0.0007812500116415322,0.0,0.2,4052,0.0007387596997432411,4000,0.0,32000,0.17238628060386071,145926.0,32416,4052,0.2
1,36000,False,9,7b4c7_00000,2025-06-01_21-16-58,1748801818,4.563155889511108,42.10549449920654,60136,Cerebro,127.0.0.1,42.10549449920654,9,4.373900458040977,1.8178345704058436e-05,4.373681041944858,1.0331748672674175,3.33105299118049,0.007206059705899048,80.0,4000,-448.0000000000001,36000,80,332.0,48,0.0695254840014968,80,448,-23.400000000000087,4,0,0,27.03333333333333,72.10000000000001,0.0,0.0,80.0,80.0,-11.700000000000044,-11.700000000000044,36000,36000,4000,4000,-11.700000000000044,-11.700000000000044,4000,4000,36000,36000,0.30107611417770386,1.5894324779510498,0.0005,9.0,7.978217124938965,0.054714083671569824,0.0,4052.0,-0.17885956168174744,2320.217529296875,145926.0,0.5127164125442505,36468,0.0003906250058207661,0.0,0.2,4052,0.0006571305566467345,4000,0.0,36000,0.17242769433974775,145926.0,36468,4052,0.2
1,40000,False,10,7b4c7_00000,2025-06-01_21-17-02,1748801822,4.706295490264893,46.811789989471436,60136,Cerebro,127.0.0.1,46.811789989471436,10,4.377094013460553,1.811156195853137e-05,4.376873637525245,1.0320753095946442,3.335338717268791,0.007204723108364547,80.0,4000,-448.0000000000001,40000,80,411.9999999999985,52,0.06934645100322086,80,500,-1.0000000000001166,4,0,0,30.579999999999995,72.08,0.0,0.0,80.0,80.0,-0.5000000000000583,-0.5000000000000583,40000,40000,4000,4000,-0.5000000000000583,-0.5000000000000583,4000,4000,40000,40000,0.5872529149055481,1.5919479131698608,0.0005,10.0,8.043211936950684,0.07537072896957397,0.0,4052.0,0.10132084041833878,1088.4158935546875,145926.0,0.32556772232055664,40520,0.00019531250291038305,0.0,0.2,4052,0.0010669534094631672,4000,0.0,40000,0.17246832077285948,145926.0,40520,4052,0.2
